taxon_name,level_1
aaronsohnia_type,aaronsohnia_type
abies,abies
abrus,abrus
abrus_type,abrus_type
abutilon,abutilon
abutilon_type,abutilon_type
acacia,acacia
acacia_albizia,acacia_albizia
acacia_ehrenbergiana_type,acacia_ehrenbergiana_type
acacia_gerrardii,acacia_gerrardii
acacia_group_i,acacia_group_i
acacia_group_iii,acacia_group_iii
acacia_kamerunensis_type,acacia_kamerunensis_type
acacia_type,acacia_type
acacia_type_i,acacia_type_i
acacia_type_iii,acacia_type_iii
acacia_type_type_ii,acacia_type_type_ii
acacia_type_type_iii,acacia_type_type_iii
acaena,acaena
acalypha,acalypha
acalypha_cf_a_crenata,acalypha_cf_a_crenata
acalypha_type,acalypha_type
acanthaceae,acanthaceae
acanthaceae_diporate,acanthaceae_diporate
acanthaceae_tricolporate,acanthaceae_tricolporate
acanthaceae_undiff,acanthaceae_undiff
acanthophoenix_rubra,acanthophoenix_rubra
acanthus,acanthus
acanthus_type,acanthus_type
acer,acer
achyranthes,achyranthes
achyranthes_aspera,achyranthes_aspera
achyranthes_aspera_type,achyranthes_aspera_type
achyranthes_type,achyranthes_type
achyranthes_type_a_aspera,achyranthes_type_a_aspera
achyranthes_type_aspera,achyranthes_type_aspera
acridocarpus,acridocarpus
adansonia,adansonia
adansonia_digitata,adansonia_digitata
adenia,adenia
adenia_type,adenia_type
adenium,adenium
adenocline,adenocline
adenorandia_type_a_kalbreyeri,adenorandia_type_a_kalbreyeri
adina,adina
aerva,aerva
aerva_javanica,aerva_javanica
aerva_javanica_type,aerva_javanica_type
aerva_lanata,aerva_lanata
aerva_lanata_type,aerva_lanata_type
aerva_type,aerva_type
aerva_type_a_javanica,aerva_type_a_javanica
aerva_type_a_lanata,aerva_type_a_lanata
aerva_type_javanica,aerva_type_javanica
aerva_type_lanata,aerva_type_lanata
aeschynomene,aeschynomene
aeschynomene_afraspera_type,aeschynomene_afraspera_type
aeschynomene_baumii_type,aeschynomene_baumii_type
aeschynomene_type,aeschynomene_type
aeschynomene_type_a_baumii,aeschynomene_type_a_baumii
aeschynomene_type_baumii,aeschynomene_type_baumii
aeschynomene_type_elaphroxylon,aeschynomene_type_elaphroxylon
afraegle,afraegle
afraegle_paniculata,afraegle_paniculata
