taxon_name,level_1
abies,abies
abies_sibirica,abies_sibirica
acacia,acacia
acalypha,acalypha
acanthaceae,acanthaceae
acantholimon,acantholimon
acanthus,acanthus
acer,acer
achillea,achillea
achillea_type,achillea_type
aconitum,aconitum
aconitum_group,aconitum_group
aconitum_type,aconitum_type
actaea,actaea
adenophora,adenophora
adonis,adonis
adonis_aestivalis_type,adonis_aestivalis_type
adonis_type,adonis_type
adonis_vernalis,adonis_vernalis
adoxa_moschatellina,adoxa_moschatellina
aegilops,aegilops
aegopodium_podagraria,aegopodium_podagraria
aesculus,aesculus
agrostemma,agrostemma
alangium,alangium
alchemilla,alchemilla
alchemilla_group,alchemilla_group
alchemilla_type,alchemilla_type
allium,allium
allium_cf_a_sibiricum,allium_cf_a_sibiricum
allium_type,allium_type
allium_ursinum_type,allium_ursinum_type
allium_vineale_type,allium_vineale_type
alnus,alnus
alnus_glutinosa,alnus_glutinosa
alnus_glutinosa_type,alnus_glutinosa_type
alnus_hirsuta,alnus_hirsuta
alnus_hirsuta_type,alnus_hirsuta_type
alnus_incana,alnus_incana
alnus_subg_alnobetula,alnus_subg_alnobetula
alnus_undiff,alnus_undiff
alnus_viridis,alnus_viridis
alnus_viridis_subsp_fruticosa,alnus_viridis_subsp_fruticosa
alnus_viridis_subsp_fruticosa_type,alnus_viridis_subsp_fruticosa_type
amaranthaceae,amaranthaceae
amaranthaceae_broken,amaranthaceae_broken
amaranthaceae_crumpled,amaranthaceae_crumpled
amaranthaceae_type,amaranthaceae_type
ambrosia,ambrosia
ambrosia_type,ambrosia_type
amygdaloideae,amygdaloideae
anacardiaceae,anacardiaceae
anagallis_type,anagallis_type
anchusa,anchusa
anchusa_pulmonaria,anchusa_pulmonaria
andromeda,andromeda
androsace,androsace
androsace_chamaejasme,androsace_chamaejasme
androsace_type,androsace_type
anemone,anemone
anemone_coronaria,anemone_coronaria
anemone_nemorosa_type,anemone_nemorosa_type
anemone_sect_hepatica,anemone_sect_hepatica
anemone_sect_pulsatilla,anemone_sect_pulsatilla
anemone_sect_pulsatilla_type,anemone_sect_pulsatilla_type
anemone_type,anemone_type
angelica_sylvestris,angelica_sylvestris
angiospermae_undiff_herbs,angiospermae_undiff_herbs
anisosciadium_type,anisosciadium_type
anthemis_type,anthemis_type
anthericum,anthericum
anthriscus,anthriscus
anthriscus_cerefolium,anthriscus_cerefolium
anthriscus_sylvestris_type,anthriscus_sylvestris_type
anthyllis,anthyllis
aphanamixis_type,aphanamixis_type
apiaceae,apiaceae
apiaceae_undiff,apiaceae_undiff
apium,apium
