taxon_name,level_1
abies,abies
abies_alba,abies_alba
abies_undiff,abies_undiff
acacia,acacia
acanthus,acanthus
acanthus_type,acanthus_type
acer,acer
acer_campestre,acer_campestre
acer_campestre_type,acer_campestre_type
acer_negundo,acer_negundo
acer_negundo_type,acer_negundo_type
acer_platanoides,acer_platanoides
acer_type,acer_type
acer_undiff,acer_undiff
achillea,achillea
achillea_anthemis_type,achillea_anthemis_type
achillea_type,achillea_type
aconitum,aconitum
aconitum_group,aconitum_group
aconitum_lycoctonum_subsp_septentrionale,aconitum_lycoctonum_subsp_septentrionale
aconitum_napellus_type,aconitum_napellus_type
aconitum_type,aconitum_type
acorus,acorus
actaea_spicata,actaea_spicata
adenostyles,adenostyles
adenostyles_alliariae,adenostyles_alliariae
adonis,adonis
adonis_aestivalis,adonis_aestivalis
adonis_aestivalis_type,adonis_aestivalis_type
adonis_annua_type,adonis_annua_type
adonis_type,adonis_type
adoxa_moschatellina,adoxa_moschatellina
aegopodium_podagraria,aegopodium_podagraria
aesculus,aesculus
aesculus_hippocastanum,aesculus_hippocastanum
aesculus_type,aesculus_type
aethusa,aethusa
aethusa_cynapium,aethusa_cynapium
aethusa_cynapium_type,aethusa_cynapium_type
aethusa_type,aethusa_type
agrimonia,agrimonia
agrimonia_eupatoria,agrimonia_eupatoria
agrimonia_eupatoria_type,agrimonia_eupatoria_type
agrimonia_type,agrimonia_type
agropyron_type,agropyron_type
agrostemma,agrostemma
agrostemma_githago,agrostemma_githago
agrostemma_type,agrostemma_type
ailanthus,ailanthus
ailanthus_altissima,ailanthus_altissima
aizoaceae,aizoaceae
ajuga,ajuga
alchemilla,alchemilla
alchemilla_aphanes,alchemilla_aphanes
alchemilla_cf_a_glabra,alchemilla_cf_a_glabra
alchemilla_group,alchemilla_group
alchemilla_pentaphyllea,alchemilla_pentaphyllea
alchemilla_pentaphyllea_type,alchemilla_pentaphyllea_type
alchemilla_type,alchemilla_type
alkanna,alkanna
allium,allium
allium_suaveolens,allium_suaveolens
allium_type,allium_type
allium_ursinum,allium_ursinum
allium_ursinum_type,allium_ursinum_type
allium_vineale_type,allium_vineale_type
alnus,alnus
alnus_cf_a_glutinosa,alnus_cf_a_glutinosa
alnus_cf_a_suaveolens,alnus_cf_a_suaveolens
alnus_cf_a_viridis,alnus_cf_a_viridis
alnus_corroded,alnus_corroded
alnus_glutinosa,alnus_glutinosa
alnus_glutinosa_a_incana,alnus_glutinosa_a_incana
alnus_glutinosa_type,alnus_glutinosa_type
alnus_incana,alnus_incana
alnus_incana_type,alnus_incana_type
alnus_shrub_pale_shallow_pores,alnus_shrub_pale_shallow_pores
alnus_sp,alnus_sp
alnus_subg_alnobetula,alnus_subg_alnobetula
alnus_tree_robust_deep_pores,alnus_tree_robust_deep_pores
alnus_undiff,alnus_undiff
alnus_viridis,alnus_viridis
alnus_viridis_subsp_suaveolens,alnus_viridis_subsp_suaveolens
alnus_viridis_type,alnus_viridis_type
althaea_officinalis,althaea_officinalis
amaranthaceae,amaranthaceae
amaranthaceae_small,amaranthaceae_small
amaranthaceae_type,amaranthaceae_type
amaranthaceae_undiff,amaranthaceae_undiff
amaranthus,amaranthus
amaryllidaceae,amaryllidaceae
ambrosia,ambrosia
ambrosia_type,ambrosia_type
ambrosia_xanthium,ambrosia_xanthium
ammi,ammi
ammi_type,ammi_type
amygdaloideae,amygdaloideae
anagallis,anagallis
anagallis_arvensis,anagallis_arvensis
anagallis_arvensis_type,anagallis_arvensis_type
anagallis_cf_a_arvensis,anagallis_cf_a_arvensis
anagallis_cf_a_tenella,anagallis_cf_a_tenella
anagallis_tenella,anagallis_tenella
anagallis_tenella_type,anagallis_tenella_type
anagallis_type,anagallis_type
anarrhinum,anarrhinum
anchusa,anchusa
anchusa_azurea,anchusa_azurea
anchusa_azurea_type,anchusa_azurea_type
anchusa_type,anchusa_type
andromeda,andromeda
andromeda_polifolia,andromeda_polifolia
andromeda_type,andromeda_type
andropogon,andropogon
androsace,androsace
androsace_alpina_type,androsace_alpina_type
androsace_elongata_type,androsace_elongata_type
androsace_type,androsace_type
anemone,anemone
anemone_alpina,anemone_alpina
anemone_hortensis_type,anemone_hortensis_type
anemone_montana,anemone_montana
anemone_nemorosa,anemone_nemorosa
anemone_nemorosa_a_ranunculoides,anemone_nemorosa_a_ranunculoides
anemone_nemorosa_group,anemone_nemorosa_group
anemone_nemorosa_type,anemone_nemorosa_type
anemone_pulsatilla,anemone_pulsatilla
anemone_pulsatilla_group,anemone_pulsatilla_group
anemone_pulsatilla_type,anemone_pulsatilla_type
anemone_sect_hepatica,anemone_sect_hepatica
anemone_sect_hepatica_type,anemone_sect_hepatica_type
anemone_sect_pulsatilla,anemone_sect_pulsatilla
anemone_sect_pulsatilla_type,anemone_sect_pulsatilla_type
anemone_subg_anemone,anemone_subg_anemone
anemone_subg_anemone_type,anemone_subg_anemone_type
anemone_type,anemone_type
anethum_graveolens,anethum_graveolens
anethum_type,anethum_type
angelica,angelica
angelica_archangelica,angelica_archangelica
angelica_archangelica_type,angelica_archangelica_type
angelica_palustris,angelica_palustris
angelica_palustris_type,angelica_palustris_type
angelica_sylvestris,angelica_sylvestris
angelica_sylvestris_group,angelica_sylvestris_group
angelica_sylvestris_type,angelica_sylvestris_type
angelica_type,angelica_type
angiospermae_undiff_herbs,angiospermae_undiff_herbs
antennaria_type,antennaria_type
anthemideae,anthemideae
anthemis,anthemis
anthemis_arvensis_type,anthemis_arvensis_type
anthemis_type,anthemis_type
anthemis_type_small,anthemis_type_small
anthericum,anthericum
anthericum_liliago,anthericum_liliago
anthericum_type,anthericum_type
anthriscus,anthriscus
anthriscus_caucalis,anthriscus_caucalis
anthriscus_caucalis_type,anthriscus_caucalis_type
anthriscus_cerefolium,anthriscus_cerefolium
anthriscus_nitida_a_sylvestris,anthriscus_nitida_a_sylvestris
anthriscus_sylvestris,anthriscus_sylvestris
