taxon_name,level_1
abatia,abatia
abies,abies
abuta,abuta
abuta_racemosa,abuta_racemosa
abutilon,abutilon
acacia,acacia
acacia_inga,acacia_inga
acacia_type,acacia_type
acaena,acaena
acaena_type,acaena_type
acalypha,acalypha
acalypha_4_minus_5_porate,acalypha_4_minus_5_porate
acalypha_diporate,acalypha_diporate
acalypha_pentaporate,acalypha_pentaporate
acalypha_sp,acalypha_sp
acalypha_tetraporate,acalypha_tetraporate
acalypha_triporate,acalypha_triporate
acalypha_type_1,acalypha_type_1
acalypha_type_2,acalypha_type_2
acalypha_undiff,acalypha_undiff
acanthaceae,acanthaceae
acanthaceae_type_1_cf_acanthus,acanthaceae_type_1_cf_acanthus
acanthaceae_undiff,acanthaceae_undiff
acer,acer
achyranthes,achyranthes
aciotis,aciotis
acnistus,acnistus
acrisione,acrisione
actinostemon,actinostemon
actinostemon_concolor,actinostemon_concolor
adelobotrys,adelobotrys
adelobotrys_type,adelobotrys_type
adenopeltis,adenopeltis
adesmia,adesmia
adiscanthus,adiscanthus
aechmea,aechmea
aegiphila,aegiphila
aegiphila_type,aegiphila_type
aeschynomene,aeschynomene
aetanthus,aetanthus
aextoxicon_punctatum,aextoxicon_punctatum
aff_astronium,aff_astronium
aff_casuarina,aff_casuarina
aff_colubrina,aff_colubrina
aff_corylus,aff_corylus
aff_dalechampia,aff_dalechampia
aff_fissicalyx,aff_fissicalyx
aff_gaylussacia,aff_gaylussacia
aff_malvaceae,aff_malvaceae
aff_melanoxylon,aff_melanoxylon
aff_miconia,aff_miconia
aff_posoqueria,aff_posoqueria
aff_trichilia,aff_trichilia
aff_triumfetta,aff_triumfetta
aff_viola,aff_viola
agarista,agarista
agave_sp,agave_sp
agavoideae,agavoideae
alchornea,alchornea
alchornea_conceveibum,alchornea_conceveibum
alchornea_didymopanax,alchornea_didymopanax
alchornea_latifolia,alchornea_latifolia
alchornea_type,alchornea_type
alchornea_type_1,alchornea_type_1
alchornea_type_2,alchornea_type_2
alchornea_type_3,alchornea_type_3
alchornea_type_4,alchornea_type_4
alchornea_type_6,alchornea_type_6
alchornea_type_a,alchornea_type_a
alchornea_type_b,alchornea_type_b
alchorneopsis,alchorneopsis
alchorneopsis_floribunda,alchorneopsis_floribunda
aldina,aldina
alibertia,alibertia
alibertia_amaioua,alibertia_amaioua
alibertia_type,alibertia_type
allophylus,allophylus
allophylus_type,allophylus_type
alnus,alnus
alnus_acuminata,alnus_acuminata
alnus_glutinosa,alnus_glutinosa
aloysia,aloysia
alseis,alseis
alstroemeria,alstroemeria
alternanthera,alternanthera
alternanthera_sessilis,alternanthera_sessilis
alternanthera_type,alternanthera_type
alternanthera_type_1,alternanthera_type_1
alternanthera_type_ii,alternanthera_type_ii
alvaradoa,alvaradoa
amaioua,amaioua
amanoa,amanoa
amaranthaceae,amaranthaceae
amaranthaceae_sensu_stricto,amaranthaceae_sensu_stricto
amaranthaceae_small,amaranthaceae_small
amaranthaceae_sp,amaranthaceae_sp
amaranthaceae_type_1,amaranthaceae_type_1
amaranthaceae_type_a,amaranthaceae_type_a
amaranthaceae_type_b,amaranthaceae_type_b
amaranthaceae_type_i,amaranthaceae_type_i
amaranthaceae_type_ii,amaranthaceae_type_ii
amaranthaceae_undiff,amaranthaceae_undiff
amaranthus,amaranthus
amaranthus_type,amaranthus_type
amaranthus_type_1,amaranthus_type_1
amaranthus_undiff,amaranthus_undiff
amaryllidaceae,amaryllidaceae
amaryllis,amaryllis
ambrosia,ambrosia
ambrosia_type,ambrosia_type
amorpha,amorpha
amyris,amyris
anacardiaceae,anacardiaceae
anacardiaceae_20_mu_m,anacardiaceae_20_mu_m
anacardiaceae_cf_loxopterygium,anacardiaceae_cf_loxopterygium
anacardiaceae_cf_schinus,anacardiaceae_cf_schinus
anacardiaceae_cf_spondias,anacardiaceae_cf_spondias
anacardiaceae_type_16,anacardiaceae_type_16
anacardiaceae_type_19,anacardiaceae_type_19
anacardiaceae_type_20,anacardiaceae_type_20
anacardiaceae_type_25,anacardiaceae_type_25
anacardiaceae_type_30,anacardiaceae_type_30
anacardiaceae_type_35,anacardiaceae_type_35
anacardiaceae_type_i,anacardiaceae_type_i
anacardiaceae_type_ii,anacardiaceae_type_ii
anacardiaceae_type_iii,anacardiaceae_type_iii
anacardiaceae_undiff,anacardiaceae_undiff
anacardium,anacardium
anacardium_type,anacardium_type
anadenanthera,anadenanthera
anadenanthera_polyad_type_16,anadenanthera_polyad_type_16
anadenanthera_polyad_type_8,anadenanthera_polyad_type_8
anadenanthera_type_1,anadenanthera_type_1
anadenanthera_type_2,anadenanthera_type_2
anastraphia_northropiana,anastraphia_northropiana
andira,andira
andira_type,andira_type
andradea,andradea
anemone,anemone
anemopaegma,anemopaegma
aniseia,aniseia
aniseia_type,aniseia_type
annona,annona
annona_sp,annona_sp
annona_type,annona_type
annona_type_1,annona_type_1
annona_type_2,annona_type_2
annona_type_a,annona_type_a
annona_type_b,annona_type_b
annonaceae,annonaceae
annonaceae_cf_annona,annonaceae_cf_annona
annonaceae_undiff,annonaceae_undiff
anomospermum,anomospermum
anthodiscus,anthodiscus
anthodon,anthodon
anthurium,anthurium
anthurium_cf_a_pentaphyllum,anthurium_cf_a_pentaphyllum
anthurium_type_1,anthurium_type_1
anthurium_type_2,anthurium_type_2
antidaphne,antidaphne
antidaphne_type,antidaphne_type
antigonon,antigonon
antirhea,antirhea
antirhea_myrtifolia,antirhea_myrtifolia
apeiba,apeiba
apeiba_tibourbou,apeiba_tibourbou
apeiba_type,apeiba_type
aphelandra,aphelandra
aphelandra_type,aphelandra_type
aphelandra_type_1,aphelandra_type_1
aphelandra_type_2,aphelandra_type_2
apiaceae,apiaceae
apiaceae_cf_anethum,apiaceae_cf_anethum
apiaceae_cf_apium,apiaceae_cf_apium
apiaceae_large,apiaceae_large
apiaceae_type_2,apiaceae_type_2
apiaceae_type_555_kuhry_1988,apiaceae_type_555_kuhry_1988
apiaceae_type_i,apiaceae_type_i
apiaceae_type_ii,apiaceae_type_ii
apiaceae_type_iii,apiaceae_type_iii
apiaceae_undiff,apiaceae_undiff
apium,apium
apium_type,apium_type
apocynaceae,apocynaceae
apocynaceae_aff_secondatia,apocynaceae_aff_secondatia
apocynaceae_triporate,apocynaceae_triporate
apocynaceae_type_a,apocynaceae_type_a
apocynaceae_type_b,apocynaceae_type_b
apocynaceae_type_c,apocynaceae_type_c
apocynaceae_type_tetraporate,apocynaceae_type_tetraporate
apocynaceae_undiff,apocynaceae_undiff
apodasmia,apodasmia
apoplanesia,apoplanesia
apuleia,apuleia
apuleia_leiocarpa,apuleia_leiocarpa
apuleia_type,apuleia_type
aquifoliaceae_undiff,aquifoliaceae_undiff
araceae,araceae
araceae_cf_anthurium_type,araceae_cf_anthurium_type
araceae_sulcate,araceae_sulcate
araceae_type_1,araceae_type_1
araceae_type_2,araceae_type_2
araceae_type_3,araceae_type_3
araceae_type_i,araceae_type_i
araceae_type_ii,araceae_type_ii
araceae_undiff,araceae_undiff
aragoa,aragoa
aralia,aralia
araliaceae,araliaceae
