taxon_name,level_1
abies,abies
abies_balsamea,abies_balsamea
abies_lasiocarpa,abies_lasiocarpa
abies_sp,abies_sp
abies_undiff,abies_undiff
abronia,abronia
acacia,acacia
acacia_type,acacia_type
acalypha,acalypha
acalypha_cf_a_rhomboidea,acalypha_cf_a_rhomboidea
acalypha_type,acalypha_type
acer,acer
acer_cf_a_glabrum,acer_cf_a_glabrum
acer_cf_a_negundo,acer_cf_a_negundo
acer_cf_a_pensylvanicum,acer_cf_a_pensylvanicum
acer_circinatum,acer_circinatum
acer_circinatum_type,acer_circinatum_type
acer_glabrum,acer_glabrum
acer_macrophyllum,acer_macrophyllum
acer_macrophyllum_type,acer_macrophyllum_type
acer_negundo,acer_negundo
acer_negundo_type,acer_negundo_type
acer_nigrum,acer_nigrum
acer_pensylvanicum,acer_pensylvanicum
acer_rubrum,acer_rubrum
acer_rubrum_type,acer_rubrum_type
acer_saccharinum,acer_saccharinum
acer_saccharinum_type,acer_saccharinum_type
acer_saccharum,acer_saccharum
acer_saccharum_a_nigrum,acer_saccharum_a_nigrum
acer_saccharum_type,acer_saccharum_type
acer_sp,acer_sp
acer_spicatum,acer_spicatum
acer_spicatum_type,acer_spicatum_type
acer_type,acer_type
acer_undiff,acer_undiff
achillea,achillea
achillea_type,achillea_type
aconitum,aconitum
aconitum_type,aconitum_type
actaea,actaea
actaea_rubra,actaea_rubra
actaea_type,actaea_type
adenostoma,adenostoma
adenostoma_fasciculatum,adenostoma_fasciculatum
adenostoma_sparsifolium,adenostoma_sparsifolium
adenostyles,adenostyles
aesculus,aesculus
agastache,agastache
agave,agave
agoseris,agoseris
agoseris_glauca_type,agoseris_glauca_type
agoseris_type,agoseris_type
agrimonia,agrimonia
agrostis,agrostis
ailanthus,ailanthus
aleurites,aleurites
allenrolfea_occidentalis,allenrolfea_occidentalis
allionia,allionia
allium,allium
allium_type,allium_type
alnus,alnus
alnus_cf_a_viridis_subsp_crispa,alnus_cf_a_viridis_subsp_crispa
alnus_hexaporate,alnus_hexaporate
alnus_incana,alnus_incana
alnus_incana_type,alnus_incana_type
alnus_pentaporate,alnus_pentaporate
alnus_rhombifolia_type,alnus_rhombifolia_type
alnus_rubra,alnus_rubra
alnus_rubra_type,alnus_rubra_type
alnus_serrulata_type,alnus_serrulata_type
alnus_tetraporate,alnus_tetraporate
alnus_triporate,alnus_triporate
alnus_undiff,alnus_undiff
alnus_viridis,alnus_viridis
alnus_viridis_subsp_crispa,alnus_viridis_subsp_crispa
alnus_viridis_subsp_crispa_type,alnus_viridis_subsp_crispa_type
alnus_viridis_subsp_sinuata,alnus_viridis_subsp_sinuata
alnus_viridis_subsp_sinuata_type,alnus_viridis_subsp_sinuata_type
alnus_viridis_type,alnus_viridis_type
alternanthera,alternanthera
amaranthaceae,amaranthaceae
amaranthaceae_type,amaranthaceae_type
amaranthaceae_undiff,amaranthaceae_undiff
amaranthus,amaranthus
