taxon_name,level_1
abutilon,abutilon
acacia,acacia
acaena,acaena
acalypha,acalypha
acalypha_type,acalypha_type
acanthaceae,acanthaceae
acanthaceae_type,acanthaceae_type
acanthaceae_undiff,acanthaceae_undiff
acanthus,acanthus
aciphylla,aciphylla
aciphylla_squarrosa_type,aciphylla_squarrosa_type
aciphylla_type,aciphylla_type
acmena,acmena
acronychia,acronychia
acronychia_comp,acronychia_comp
actinotus,actinotus
aegiceras,aegiceras
agastachys,agastachys
agastachys_odorata,agastachys_odorata
agathis,agathis
agathis_australis,agathis_australis
agathis_robusta,agathis_robusta
aglaia_comp,aglaia_comp
aglaia_type,aglaia_type
aizoaceae,aizoaceae
albizia,albizia
aleurites,aleurites
allocasuarina,allocasuarina
alnus,alnus
alphitonia,alphitonia
alternanthera,alternanthera
alternanthera_comp,alternanthera_comp
altingia_excelsa_comp,altingia_excelsa_comp
amaranthaceae,amaranthaceae
amaranthaceae_bigger_than_20_mu_m,amaranthaceae_bigger_than_20_mu_m
amaranthaceae_sensu_stricto,amaranthaceae_sensu_stricto
amaranthaceae_smaller_than_20_mu_m,amaranthaceae_smaller_than_20_mu_m
amaranthaceae_undiff,amaranthaceae_undiff
amperea,amperea
amperea_poranthera,amperea_poranthera
amperea_xiphoclada,amperea_xiphoclada
amyema,amyema
anacardiaceae,anacardiaceae
anemone,anemone
angiospermae_undiff_herbs,angiospermae_undiff_herbs
angophora,angophora
angophora_corymbia,angophora_corymbia
angophora_costata,angophora_costata
angophora_type,angophora_type
annonaceae,annonaceae
anodopetalum,anodopetalum
anopterus,anopterus
anopterus_glandulosus,anopterus_glandulosus
antidesma,antidesma
antirhea,antirhea
aphananthe,aphananthe
apiaceae,apiaceae
apiaceae_cf_dichosciadium,apiaceae_cf_dichosciadium
apiaceae_type_1,apiaceae_type_1
apiaceae_undiff,apiaceae_undiff
apiales_cf_araliaceae,apiales_cf_araliaceae
apium,apium
apium_prostratum,apium_prostratum
apocynaceae,apocynaceae
araliaceae,araliaceae
araliaceae_rutaceae,araliaceae_rutaceae
araliaceae_type,araliaceae_type
araliaceae_undiff,araliaceae_undiff
araucaria,araucaria
araucaria_cunninghamii,araucaria_cunninghamii
araucariaceae,araucariaceae
archeria,archeria
ardisia,ardisia
arecaceae,arecaceae
arecaceae_incertae_sedis,arecaceae_incertae_sedis
arecaceae_undiff,arecaceae_undiff
arenga,arenga
aristotelia,aristotelia
arytera,arytera
arytera_type,arytera_type
ascarina,ascarina
ascarina_lucida,ascarina_lucida
asparagaceae_cf_arthropodium,asparagaceae_cf_arthropodium
asperula,asperula
asphodeloideae,asphodeloideae
astelia,astelia
astelia_alpina,astelia_alpina
astelia_type,astelia_type
asteraceae,asteraceae
asteraceae_undiff,asteraceae_undiff
asteroideae,asteroideae
asteroideae_type_1,asteroideae_type_1
asteroideae_type_2,asteroideae_type_2
asteroideae_type_3,asteroideae_type_3
asteroideae_type_4,asteroideae_type_4
asteroideae_type_5,asteroideae_type_5
asteroideae_undiff,asteroideae_undiff
astrotricha,astrotricha
atherosperma,atherosperma
atherosperma_moschatum,atherosperma_moschatum
athrotaxis_diselma,athrotaxis_diselma
athrotaxis_type_diselma_type,athrotaxis_type_diselma_type
australina,australina
austrobuxus,austrobuxus
austromyrtus,austromyrtus
avicennia,avicennia
avicennia_marina,avicennia_marina
baccaurea,baccaurea
backhousia_myrtifolia,backhousia_myrtifolia
baeckea,baeckea
baeckea_tristania,baeckea_tristania
balanops,balanops
banksia,banksia
banksia_aemula,banksia_aemula
banksia_dentata,banksia_dentata
banksia_integrifolia,banksia_integrifolia
banksia_integrifolia_type,banksia_integrifolia_type
banksia_marginata,banksia_marginata
banksia_robur,banksia_robur
barringtonia,barringtonia
batis,batis
bauera,bauera
bauera_rubioides,bauera_rubioides
bauera_type,bauera_type
bauhinia_type,bauhinia_type
baumea,baumea
begonia,begonia
bellendena,bellendena
bellendena_montana,bellendena_montana
bertya,bertya
betula,betula
beyeria,beyeria
bignoniaceae_verbenaceae,bignoniaceae_verbenaceae
billardiera,billardiera
bischofia,bischofia
blandfordia,blandfordia
bombax,bombax
bombax_ceiba,bombax_ceiba
bombax_comp,bombax_comp
boraginaceae,boraginaceae
boraginaceae_type,boraginaceae_type
boronia,boronia
boronia_algida,boronia_algida
bossiaea,bossiaea
brachychiton,brachychiton
brachycome_type,brachycome_type
brassicaceae,brassicaceae
brassicaceae_lamiaceae,brassicaceae_lamiaceae
brassicaceae_type,brassicaceae_type
brassicaceae_undiff,brassicaceae_undiff
breynia,breynia
bridelia,bridelia
bruguiera,bruguiera
bruguiera_ceriops,bruguiera_ceriops
bruguiera_exaristata_type,bruguiera_exaristata_type
buchanania,buchanania
buchanania_type,buchanania_type
buddleja,buddleja
bursaria,bursaria
bursaria_spinosa,bursaria_spinosa
caesalpinioideae,caesalpinioideae
calamus,calamus
callistemon,callistemon
callistemon_pallidus,callistemon_pallidus
callistemon_pityoides_type,callistemon_pityoides_type
callitris,callitris
calocedrus,calocedrus
calophyllum,calophyllum
calycosia,calycosia
calystegia,calystegia
calytrix,calytrix
campanulaceae,campanulaceae
camptostemon,camptostemon
canarium,canarium
canavalia_type,canavalia_type
canscora,canscora
canthium,canthium
capparaceae_fabaceae,capparaceae_fabaceae
capparis,capparis
capparis_type,capparis_type
caprifoliaceae_cf_lonicera_type,caprifoliaceae_cf_lonicera_type
carallia_comp,carallia_comp
cardamine,cardamine
carex,carex
carex_type,carex_type
carpodetus_serratus,carpodetus_serratus
caryophyllaceae,caryophyllaceae
caryophyllaceae_undiff,caryophyllaceae_undiff
cassinia_arcuata_type_calomeria_type,cassinia_arcuata_type_calomeria_type
castanopsis,castanopsis
castanopsis_comp,castanopsis_comp
castanopsis_lithocarpus,castanopsis_lithocarpus
casuarina,casuarina
casuarina_equisetifolia,casuarina_equisetifolia
casuarina_smaller_than_25_mu_m,casuarina_smaller_than_25_mu_m
casuarina_type_b,casuarina_type_b
casuarina_undiff,casuarina_undiff
casuarinaceae,casuarinaceae
ceiba_pentandra_cochlospermum,ceiba_pentandra_cochlospermum
celmisia_type,celmisia_type
celtis,celtis
celtis_type,celtis_type
cenarrhenes,cenarrhenes
cenarrhenes_nitida,cenarrhenes_nitida
centaurium,centaurium
centella,centella
centrolepidaceae,centrolepidaceae
centrolepis,centrolepis
cerberiopsis,cerberiopsis
ceriops,ceriops
cf_acanthaceae,cf_acanthaceae
cf_adenostemma,cf_adenostemma
cf_amperea,cf_amperea
cf_astelia,cf_astelia
cf_bidens_erigeron,cf_bidens_erigeron
cf_brassicaceae,cf_brassicaceae
cf_canthium,cf_canthium
cf_celtis,cf_celtis
cf_euphorbiaceae,cf_euphorbiaceae
cf_fuchsia,cf_fuchsia
cf_homalium,cf_homalium
cf_melochia,cf_melochia
cf_pandanus,cf_pandanus
cf_pemphis,cf_pemphis
cf_psychotria,cf_psychotria
cf_psydrax,cf_psydrax
cf_quintinia,cf_quintinia
cf_rubiaceae,cf_rubiaceae
cf_rubus,cf_rubus
cf_samolus,cf_samolus
cf_streblus,cf_streblus
chenopodiaceae_sensu_stricto,chenopodiaceae_sensu_stricto
chorizandra,chorizandra
cichorieae,cichorieae
cichorioideae,cichorioideae
cichorioideae_undiff,cichorioideae_undiff
cirsium,cirsium
cissus,cissus
claoxylon,claoxylon
cleidion,cleidion
cleistocalyx,cleistocalyx
clematis,clematis
clematis_type,clematis_type
cocos,cocos
codia,codia
codonocarpus,codonocarpus
coleus,coleus
