Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Abies,NA,1,Pinaceae,Coniferae,Abies,NA,NA,NA,NA
Abies balsamea,NA,550,Abies,Pinaceae,Abies,99,NA,NA,NA
Abies lasiocarpa,NA,9576,Abies,Pinaceae,Abies,2,NA,NA,NA
Abies undiff.,NA,3725,Abies,Pinaceae,Abies,NA,NA,NA,NA
Abies|pollen|NISP,5,NA,NA,NA,Abies,NA,NA,NA,NA
Abies|pollen|NISP|pollen|NISP,6,NA,NA,NA,Abies,NA,NA,NA,NA
Abronia,NA,1500,Nyctaginaceae,Caryophyllales,Abronia,6,NA,NA,NA
Acacia,NA,1580,mimosoid clade,Fabaceae subf. Caesalpinioideae,Acacia,4,NA,NA,NA
Acacia-type,9,NA,NA,NA,Acacia,NA,NA,NA,NA
Acalypha,NA,2,Euphorbiaceae,Malpighiales,Acalypha,4,NA,NA,NA
Acalypha-type,NA,27017,Euphorbiaceae,Malpighiales,Acalypha,NA,skip? Type indeterminate?,NA,NA
Acer,NA,338,Sapindaceae subf. Hippocastanoideae,Sapindaceae,Acer,NA,NA,NA,NA
Acer-type,NA,3729,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
Acer cf. A. glabrum,NA,3476,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer cf. A. negundo,NA,3165,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer cf. A. pensylvanicum,NA,552,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer circinatum,NA,864,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer circinatum-type,NA,1464,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer glabrum,NA,1411,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer macrophyllum,NA,865,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer macrophyllum-type,NA,970,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer negundo,NA,4,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer negundo-type,NA,803,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer nigrum,NA,553,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer pensylvanicum,NA,5,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer rubrum,NA,6,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer rubrum-type,NA,3627,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
