neotoma_names,name,rank
Abies,Plantae,kingdom
Abies,Tracheophyta,phylum
Abies,Pinopsida,class
Abies,Pinales,order
Abies,Pinaceae,family
Abies,Abies,genus
Acer negundo-type,Plantae,kingdom
Acer negundo-type,Tracheophyta,phylum
Acer negundo-type,Magnoliopsida,class
Acer negundo-type,Sapindales,order
Acer negundo-type,Sapindaceae,family
Acer negundo-type,Acer,genus
Acer rubrum,Plantae,kingdom
Acer rubrum,Tracheophyta,phylum
Acer rubrum,Magnoliopsida,class
Acer rubrum,Sapindales,order
Acer rubrum,Sapindaceae,family
Acer rubrum,Acer,genus
Acer rubrum,Acer rubrum,species
Acer saccharum-type,Plantae,kingdom
Acer saccharum-type,Tracheophyta,phylum
Acer saccharum-type,Magnoliopsida,class
Acer saccharum-type,Sapindales,order
Acer saccharum-type,Sapindaceae,family
Acer saccharum-type,Acer,genus
Acer undiff.,Plantae,kingdom
Acer undiff.,Tracheophyta,phylum
Acer undiff.,Magnoliopsida,class
Acer undiff.,Sapindales,order
Acer undiff.,Sapindaceae,family
Acer undiff.,Acer,genus
Alnus incana-type,Plantae,kingdom
Alnus incana-type,Tracheophyta,phylum
Alnus incana-type,Magnoliopsida,class
Alnus incana-type,Fagales,order
Alnus incana-type,Betulaceae,family
Alnus incana-type,Alnus,genus
Amaranthaceae undiff.,Plantae,kingdom
Amaranthaceae undiff.,Tracheophyta,phylum
Amaranthaceae undiff.,Magnoliopsida,class
Amaranthaceae undiff.,Caryophyllales,order
Amaranthaceae undiff.,Amaranthaceae,family
Anacardiaceae undiff.,Plantae,kingdom
Anacardiaceae undiff.,Tracheophyta,phylum
Anacardiaceae undiff.,Magnoliopsida,class
Anacardiaceae undiff.,Sapindales,order
Anacardiaceae undiff.,Anacardiaceae,family
Apiaceae,Plantae,kingdom
Apiaceae,Tracheophyta,phylum
Apiaceae,Magnoliopsida,class
Apiaceae,Apiales,order
Apiaceae,Apiaceae,family
Apocynum,Plantae,kingdom
Apocynum,Tracheophyta,phylum
Apocynum,Magnoliopsida,class
Apocynum,Gentianales,order
Apocynum,Apocynaceae,family
Apocynum,Apocynum,genus
Arecaceae undiff.,Plantae,kingdom
Arecaceae undiff.,Tracheophyta,phylum
Arecaceae undiff.,Liliopsida,class
Arecaceae undiff.,Arecales,order
Arecaceae undiff.,Arecaceae,family
Artemisia,Plantae,kingdom
Artemisia,Tracheophyta,phylum
Artemisia,Magnoliopsida,class
Artemisia,Asterales,order
Artemisia,Asteraceae,family
Artemisia,Artemisia,genus
Asteroideae undiff.,Animalia,kingdom
Asteroideae undiff.,Echinodermata,phylum
Asteroideae undiff.,Asteroidea,class
Berberidaceae,Plantae,kingdom
Berberidaceae,Tracheophyta,phylum
Berberidaceae,Magnoliopsida,class
Berberidaceae,Ranunculales,order
Berberidaceae,Berberidaceae,family
Beta vulgaris-type,Plantae,kingdom
Beta vulgaris-type,Tracheophyta,phylum
Beta vulgaris-type,Magnoliopsida,class
Beta vulgaris-type,Caryophyllales,order
Beta vulgaris-type,Amaranthaceae,family
Beta vulgaris-type,Beta,genus
Betula,Plantae,kingdom
Betula,Tracheophyta,phylum
Betula,Magnoliopsida,class
Betula,Fagales,order
Betula,Betulaceae,family
Betula,Betula,genus
Brassica,Plantae,kingdom
Brassica,Tracheophyta,phylum
Brassica,Magnoliopsida,class
Brassica,Brassicales,order
Brassica,Brassicaceae,family
Brassica,Brassica,genus
Brassicaceae undiff.,Plantae,kingdom
Brassicaceae undiff.,Tracheophyta,phylum
Brassicaceae undiff.,Magnoliopsida,class
Brassicaceae undiff.,Brassicales,order
