dataset_id,age,richness
1155,1000,12
1155,10000,11
14612,1000,15
14612,2000,14
14612,3000,14
14612,4000,13
14612,5000,15
14612,10000,11
1516,2000,11
1516,3000,13
1516,4000,14
1516,5000,14
1516,6000,14
1516,7000,14
1516,10000,11
15624,1000,18
15624,2000,19
15624,3000,21
15624,6000,23
15624,9000,23
15624,10000,20
15649,1000,28
15649,2000,26
15649,3000,28
15649,4000,23
15649,5000,26
15649,6000,21
15649,7000,25
15649,10000,18
15678,1000,19
15678,2000,19
15678,5000,17
15678,7000,18
15678,8000,23
15678,9000,26
15678,10000,20
15678,11000,21
15678,12000,26
15709,1000,25
1628,1000,24
1628,2000,19
1628,4000,23
1628,7000,17
1628,9000,23
1628,10000,24
1687,1000,14
1687,10000,11
1843,1000,15
1843,5000,13
1843,10000,15
1845,1000,17
1845,2000,17
1845,3000,19
1845,4000,13
1845,6000,17
1845,7000,13
1845,8000,16
1845,10000,17
1860,1000,14
1860,2000,21
1860,10000,22
1979,1000,14
1979,3000,10
1979,4000,14
1979,5000,17
1979,6000,16
1979,7000,20
1979,8000,21
1979,9000,19
1979,10000,12
1979,11000,17
22330,10000,27
2579,1000,19
2579,2000,15
2579,3000,20
2579,4000,14
2579,5000,20
2579,6000,13
2579,7000,24
2579,8000,26
2579,9000,15
2579,10000,14
2579,11000,18
2579,12000,20
2583,1000,11
2583,3000,13
2583,6000,11
2583,7000,9
2583,8000,12
2583,11000,13
26565,1000,18
26565,2000,14
26565,10000,16
2660,1000,6
2660,10000,12
30184,1000,18
30184,2000,22
30184,3000,20
30184,4000,21
30184,5000,20
30184,6000,19
30184,7000,17
30184,10000,20
31,1000,11
31,2000,10
31,3000,13
31,8000,19
31,10000,13
3861,1000,11
3861,2000,10
3861,3000,10
3861,4000,9
3861,5000,11
3861,7000,9
3861,8000,11
3861,10000,9
3975,1000,12
3975,10000,10
4010,1000,10
4010,2000,16
4010,3000,9
4010,4000,11
4010,5000,16
4010,6000,16
4010,7000,14
4010,8000,15
4081,1000,15
4081,2000,12
4081,3000,7
4081,10000,12
4097,1000,15
4097,3000,10
4097,10000,16
40997,2000,14
40997,3000,17
40997,4000,22
40997,5000,14
40997,6000,15
40997,7000,20
40997,8000,22
40997,9000,24
40997,10000,18
40997,11000,27
40997,12000,30
41098,1000,16
41098,2000,11
41098,3000,10
41098,4000,12
41098,5000,15
41098,6000,18
41098,7000,17
41098,8000,16
41098,10000,10
41138,1000,14
41138,2000,8
41138,5000,12
41138,9000,11
41138,12000,17
41247,1000,30
41247,2000,32
41247,3000,32
41247,4000,29
41247,5000,35
41247,6000,34
41247,7000,36
41247,8000,35
41247,9000,33
41247,10000,32
41247,11000,32
41247,12000,27
41252,1000,14
41252,2000,14
41252,3000,14
41252,4000,14
41252,5000,18
41252,6000,12
41252,10000,10
41264,2000,8
41264,4000,10
41264,10000,10
42417,1000,20
42417,2000,25
42417,3000,24
42417,10000,23
4245,1000,9
4505,1000,17
4505,10000,17
45170,3000,29
45170,5000,27
45170,6000,24
45170,7000,26
45170,8000,22
45170,9000,24
45170,10000,29
45170,11000,28
45170,12000,23
4543,10000,8
4548,3000,29
4548,4000,33
4548,6000,25
4548,7000,27
4548,8000,23
4548,9000,27
4548,11000,30
4548,12000,30
46445,2000,19
46445,3000,24
46445,4000,17
46445,5000,18
46445,6000,22
46445,10000,15
46447,1000,14
46447,2000,12
46447,3000,15
46447,4000,16
46447,10000,15
46462,1000,11
46462,10000,9
46479,1000,14
46479,10000,18
46485,1000,14
46485,2000,8
46485,3000,12
46485,4000,11
46485,5000,11
46485,6000,10
46485,7000,11
46485,8000,11
46485,9000,13
46485,10000,14
46485,11000,10
46488,1000,18
46488,2000,11
46488,3000,10
46488,10000,17
47817,1000,21
47817,10000,16
49139,1000,12
49139,10000,8
52155,10000,27
52268,2000,14
52979,1000,20
52979,2000,16
52979,3000,14
52979,4000,14
52979,5000,15
52979,10000,14
57862,1000,30
57862,2000,12
57862,3000,8
57862,10000,26
788,1000,12
788,4000,10
788,6000,9
788,8000,14
788,10000,13
788,11000,15
788,12000,11
792,1000,12
792,3000,13
792,4000,18
792,5000,16
792,7000,16
792,8000,20
792,9000,21
792,10000,13
792,11000,20
792,12000,17
804,2000,13
804,3000,11
804,5000,13
804,6000,10
804,10000,18
866,1000,15
866,10000,17
968,1000,14
968,4000,14
968,5000,10
968,6000,16
968,7000,16
968,10000,13
997,2000,12
997,3000,14
997,4000,9
997,5000,13
997,6000,6
997,8000,15
997,10000,12
