dataset_id,age,richness
12,1000,23
12,10000,23
14110,1000,27
14110,2000,27
14110,3000,33
14110,10000,34
14289,1000,36
14289,2000,30
14289,3000,29
14289,10000,31
1434,1000,18
1434,10000,18
1435,1000,42
1435,2000,16
1435,3000,20
1435,4000,16
1435,5000,18
1435,6000,19
1435,7000,17
1435,10000,37
1438,1000,25
1438,2000,16
1438,3000,15
1438,4000,13
1438,7000,17
1438,8000,19
1438,9000,15
1438,10000,25
1438,11000,17
1440,1000,29
1440,10000,31
14523,1000,31
14523,2000,21
14523,3000,21
14523,4000,20
14523,5000,19
14523,6000,25
14523,7000,24
14523,8000,30
14523,9000,25
14523,10000,30
14523,11000,25
14523,12000,22
14525,2000,17
14525,4000,14
14525,6000,16
14525,7000,14
14525,9000,16
14525,10000,29
14525,11000,28
14525,12000,24
14527,2000,21
14527,3000,24
14527,4000,24
14556,1000,37
14556,10000,23
1522,2000,11
1522,3000,14
1522,4000,15
1522,5000,16
1522,10000,18
1577,1000,24
1577,2000,18
1577,3000,22
1577,4000,19
1577,5000,20
1577,7000,14
1577,8000,26
1577,9000,21
1577,10000,23
1577,11000,24
16212,1000,28
16212,2000,19
16212,3000,18
16212,5000,25
16212,8000,29
16212,9000,24
16212,10000,31
16212,11000,16
16212,12000,16
16214,1000,29
16214,2000,21
16214,3000,27
16214,4000,23
16214,5000,24
16214,6000,24
16214,10000,23
16217,1000,34
16217,10000,34
16219,1000,36
16219,2000,19
16219,10000,33
17334,1000,37
17334,2000,25
17334,3000,33
17334,4000,31
17334,5000,29
17334,6000,22
17334,7000,28
17334,8000,21
17334,10000,32
17336,1000,29
17336,2000,14
17336,3000,15
17336,4000,17
17336,5000,27
17336,6000,34
17336,10000,36
17342,2000,20
17342,3000,17
17342,4000,20
17342,5000,17
17342,6000,18
17342,7000,22
17342,9000,21
17342,10000,32
17342,11000,16
17342,12000,23
19901,1000,25
19901,2000,11
19901,3000,12
19901,4000,10
19901,10000,22
19909,1000,17
19909,10000,14
19913,1000,19
19913,10000,15
20,1000,10
20,2000,13
20,10000,8
20012,1000,20
20012,10000,21
20018,1000,24
20018,2000,22
20018,3000,19
20018,4000,20
20018,5000,22
20018,6000,14
20018,7000,18
20018,8000,21
20018,9000,20
20018,10000,21
20034,1000,21
20034,2000,20
20034,10000,17
20046,1000,30
20046,2000,17
20046,4000,22
20046,5000,19
20046,10000,28
20050,1000,32
20050,2000,24
20050,3000,39
20050,4000,31
20050,5000,39
20050,6000,27
20050,7000,29
20050,10000,33
20060,2000,32
20060,3000,26
20060,10000,36
20131,1000,23
20131,2000,13
20131,3000,16
20131,4000,20
20131,5000,16
20131,6000,14
20131,7000,13
20131,8000,13
20131,9000,24
20131,10000,26
20131,11000,18
20131,12000,21
20279,2000,12
20279,10000,29
20285,1000,27
20285,10000,21
20293,2000,25
20293,10000,21
21790,1000,20
21790,2000,17
21790,3000,21
21790,10000,19
22316,1000,37
22316,10000,29
22322,1000,24
22322,10000,23
22344,2000,15
22344,3000,21
22344,4000,14
22344,5000,21
22344,6000,24
22344,10000,24
22367,1000,35
22367,2000,26
22367,3000,20
22367,10000,34
225,2000,24
225,3000,18
225,4000,24
225,5000,24
225,6000,25
225,7000,20
225,8000,26
225,10000,17
225,12000,24
22650,1000,37
22650,10000,29
22656,1000,34
22656,2000,15
22656,3000,18
22656,4000,21
22656,5000,24
22660,1000,24
22660,10000,21
22662,3000,21
22662,4000,26
22662,10000,39
22669,1000,32
22669,10000,24
22672,2000,31
22672,3000,31
22678,1000,26
22678,2000,29
22678,3000,19
22678,10000,21
22683,1000,24
22683,2000,27
22683,3000,29
22683,6000,28
22683,8000,36
22683,10000,33
22683,12000,31
22687,1000,27
22687,2000,16
22687,3000,11
22687,4000,12
22687,5000,12
22687,6000,15
22687,7000,12
22687,8000,16
22687,10000,17
22689,2000,12
22689,3000,13
22689,4000,16
22689,5000,19
22689,6000,13
22689,7000,11
22689,8000,10
22689,9000,10
22689,10000,25
22689,11000,14
22689,12000,15
22709,1000,43
22709,2000,23
22709,3000,31
22709,4000,25
22709,5000,32
22709,10000,35
22711,1000,22
22711,2000,22
22711,3000,16
22711,4000,19
22711,5000,19
22711,10000,21
22723,1000,22
22723,2000,20
22723,3000,23
22723,4000,25
22723,5000,28
22723,6000,28
22723,10000,18
22732,1000,34
22732,2000,21
22732,3000,17
22732,4000,26
22732,5000,17
22732,6000,9
22732,7000,14
22732,8000,18
22732,9000,20
22732,10000,26
22732,11000,23
22732,12000,32
22757,1000,26
22757,2000,19
22757,3000,22
22757,10000,23
22759,1000,42
22759,2000,17
22759,3000,15
22759,4000,19
22759,5000,15
22759,6000,18
22759,10000,30
22773,1000,29
22773,2000,16
22773,3000,15
22773,4000,9
22773,10000,22
22786,1000,43
22786,10000,22
22788,1000,27
22788,2000,19
22788,4000,14
22788,5000,21
22788,6000,15
22788,7000,10
22788,8000,13
22788,9000,29
22788,10000,24
22791,1000,27
22791,2000,13
22791,3000,10
22791,4000,26
22791,5000,17
22791,10000,26
22797,1000,42
22797,2000,28
22797,3000,25
22797,4000,23
22797,10000,28
22801,2000,10
22801,3000,13
22801,4000,19
22801,5000,22
22801,6000,17
22801,7000,13
22801,10000,37
22803,10000,30
22812,1000,38
22812,2000,22
22812,3000,19
22812,4000,18
22812,10000,28
22814,1000,37
22814,10000,25
22820,1000,38
22820,2000,11
22820,3000,11
22820,4000,12
22820,5000,23
22820,6000,30
22820,10000,25
22828,1000,30
22828,2000,29
22828,3000,23
22828,4000,22
22828,5000,19
22828,6000,25
22828,7000,22
22828,8000,19
22828,9000,18
22828,10000,33
22828,11000,14
22835,2000,18
22835,3000,14
22835,4000,17
22835,5000,11
22835,6000,17
22835,7000,11
22835,8000,12
22835,10000,22
22842,1000,33
22842,2000,16
22842,10000,26
22845,2000,15
22845,3000,17
22845,4000,17
