dataset_id,age,richness
1001,1000,9
1001,2000,13
1001,3000,19
1001,4000,21
1001,10000,9
1002,1000,20
1002,2000,18
1002,3000,22
1002,4000,24
1002,5000,22
1002,6000,22
1002,10000,20
1003,1000,15
1003,2000,16
1003,3000,13
1003,4000,14
1003,5000,12
1003,6000,13
1003,7000,10
1003,8000,12
1003,9000,15
1003,10000,15
1003,11000,17
1003,12000,18
1006,1000,11
1006,2000,8
1006,3000,13
1006,4000,12
1006,5000,9
1006,6000,9
1006,7000,9
1006,8000,10
1006,9000,12
1006,11000,9
1006,12000,11
1013,1000,12
1013,4000,14
1013,8000,14
1013,9000,11
1013,10000,10
1013,11000,11
1013,12000,12
1030,1000,11
1030,2000,11
1030,3000,17
1030,4000,13
1030,6000,15
1030,7000,14
1030,8000,16
1030,10000,15
1030,11000,16
1030,12000,18
1104,1000,7
1104,2000,10
1104,3000,13
1104,4000,16
1104,5000,17
1104,7000,13
1104,10000,12
1104,11000,13
1105,1000,25
1105,2000,20
1105,3000,24
1105,10000,23
1107,1000,15
1107,2000,11
1107,10000,16
1142,1000,13
1142,10000,12
1148,1000,12
1148,2000,16
1148,3000,19
1148,4000,17
1148,5000,22
1148,6000,22
1148,7000,14
1148,8000,20
1148,9000,18
1148,10000,16
1148,11000,18
1148,12000,16
1152,1000,23
1152,10000,19
1153,1000,26
1153,10000,21
1160,1000,27
1160,2000,18
1160,4000,25
1160,5000,26
1160,6000,23
1160,7000,28
1160,8000,26
1160,9000,21
1160,10000,24
1160,12000,27
1255,2000,27
1255,3000,22
1255,4000,21
1255,10000,15
13029,2000,19
13029,5000,18
13029,10000,18
13051,1000,21
13051,10000,18
13097,1000,8
13097,2000,11
13097,3000,13
13097,4000,13
13097,10000,8
1390,1000,10
1390,2000,11
1390,3000,11
1390,4000,12
1390,5000,13
1390,6000,10
1390,7000,11
1390,8000,13
1390,9000,10
1390,10000,9
1390,11000,11
1390,12000,13
1432,1000,13
1432,3000,14
1432,7000,11
1432,12000,15
14410,10000,13
1445,1000,13
1445,2000,9
1445,3000,8
1445,4000,8
1445,5000,11
1445,6000,18
1445,7000,15
1445,8000,9
1445,10000,11
1448,1000,27
1448,2000,23
1448,3000,19
1448,4000,20
1448,5000,19
1448,7000,18
1448,8000,17
1448,10000,23
1448,11000,17
1448,12000,18
14498,1000,19
14498,10000,16
14549,1000,15
14549,2000,13
14549,3000,13
14549,4000,14
14549,5000,17
14549,6000,12
14549,7000,11
14549,8000,11
14549,9000,11
14549,10000,12
14549,11000,9
14674,2000,18
14674,3000,20
14674,4000,12
14674,10000,16
14676,1000,12
14676,10000,13
14682,1000,21
14682,10000,14
14792,1000,9
14792,2000,10
14792,3000,9
14792,4000,7
14792,5000,13
14792,6000,7
14792,7000,12
14792,8000,11
14792,9000,18
14792,10000,9
14803,1000,16
14803,4000,15
14803,5000,12
14803,6000,14
14803,7000,9
14803,8000,10
14803,9000,12
14803,11000,16
14884,1000,16
14884,2000,13
14884,3000,17
14884,4000,14
14884,5000,11
14884,6000,16
14884,7000,11
14884,8000,13
14884,10000,13
14911,1000,16
14911,10000,19
14923,1000,12
14923,2000,12
14923,3000,10
14923,6000,13
14923,7000,13
14923,8000,14
14923,9000,13
14923,10000,12
14944,1000,16
14944,2000,12
14944,3000,12
14944,4000,17
14944,5000,11
14944,6000,12
14944,7000,13
14944,10000,13
14948,1000,18
14948,10000,19
14951,1000,17
14951,2000,19
14951,4000,9
14951,5000,13
14951,6000,17
14951,7000,18
14951,10000,14
15032,1000,17
15032,10000,16
15035,2000,19
15035,10000,15
15081,8000,21
15081,10000,22
15088,1000,24
15088,3000,26
15088,8000,22
15088,9000,25
15088,11000,25
15088,12000,24
15136,1000,29
15136,2000,17
15136,3000,17
15136,4000,18
15136,5000,16
15136,6000,15
15136,10000,25
15138,1000,21
15138,10000,15
15142,1000,22
15142,2000,19
15142,3000,20
15142,4000,22
15142,5000,15
15142,6000,16
15142,7000,16
15142,8000,17
15142,9000,20
15185,1000,8
15185,2000,8
15185,3000,8
15185,4000,7
15185,5000,8
15185,6000,7
15185,7000,9
15185,8000,15
15185,10000,9
15189,1000,8
15189,2000,11
15189,3000,8
15189,4000,6
15189,5000,8
15189,6000,8
15189,7000,9
15189,11000,11
15191,1000,21
15191,2000,15
15191,3000,14
1520,1000,23
1520,2000,21
1520,3000,20
1520,4000,19
1520,5000,18
1520,6000,22
1520,7000,17
1520,10000,21
15201,1000,10
15201,2000,14
15201,3000,12
15201,4000,13
15201,5000,14
15201,6000,12
15201,7000,11
15201,8000,16
15201,10000,11
15214,1000,6
15214,2000,8
15214,10000,7
1523,1000,15
1523,2000,15
1523,3000,15
1523,4000,16
1523,5000,15
1523,6000,19
1523,7000,15
1523,8000,11
1523,9000,14
1523,10000,15
1523,11000,14
1523,12000,12
15244,1000,30
15244,3000,25
15244,4000,24
15244,6000,21
15244,7000,21
15244,8000,27
15244,9000,25
15244,10000,24
15292,1000,33
15292,2000,16
15292,3000,14
15292,4000,18
15292,6000,12
15292,10000,21
15302,1000,25
15302,2000,21
15302,3000,16
15302,4000,19
15302,5000,12
15302,6000,14
15302,7000,22
15302,8000,15
15302,10000,28
15309,1000,21
15309,10000,18
15325,1000,30
15325,2000,18
15325,3000,14
15325,5000,16
15325,6000,20
15325,7000,16
15325,8000,19
15325,9000,27
15325,10000,25
15350,1000,19
15350,2000,14
15350,3000,19
15350,4000,15
15350,5000,14
15350,7000,18
15350,8000,20
15350,9000,15
15350,10000,20
15350,11000,9
15350,12000,23
15356,1000,21
15356,2000,21
15356,3000,24
15356,4000,21
15356,5000,21
15356,6000,20
15356,7000,18
15356,8000,22
15356,9000,22
15356,10000,18
15368,1000,10
15368,2000,11
15368,3000,10
15368,4000,10
15368,7000,11
15368,8000,12
15368,10000,12
15368,11000,9
15368,12000,9
15392,1000,16
15392,3000,12
15392,10000,17
15392,12000,14
15403,1000,17
15403,10000,21
1541,2000,12
1541,3000,12
1541,7000,9
1541,10000,10
1541,11000,15
15413,1000,9
15413,2000,13
15413,10000,12
15420,1000,13
15420,3000,9
15420,10000,14
15462,1000,18
15462,10000,19
15586,1000,14
15586,2000,14
15586,5000,14
15586,6000,13
15586,7000,15
15586,8000,13
15586,9000,12
15586,10000,16
15586,12000,19
15588,2000,16
15588,3000,13
15588,5000,15
15588,6000,14
15588,7000,14
15588,10000,17
15594,1000,17
15594,10000,20
15646,10000,13
15667,1000,14
15667,2000,11
15667,10000,10
15680,1000,14
15680,2000,18
15680,4000,15
15680,5000,17
15680,6000,14
15680,7000,12
15680,8000,15
15680,10000,18
15682,1000,19
15682,2000,21
15682,3000,25
15682,4000,22
15682,10000,18
1569,1000,19
1569,2000,12
1569,3000,21
1569,4000,16
1569,5000,19
1569,6000,16
1569,7000,19
1569,10000,19
15713,1000,10
15713,2000,10
15713,3000,11
15713,4000,13
15713,5000,14
15713,6000,14
15713,10000,9
15715,1000,12
15715,2000,15
15715,3000,16
15715,5000,13
15715,7000,15
15715,9000,13
15715,11000,13
15719,1000,18
15719,3000,10
15719,5000,12
15719,10000,18
15724,1000,8
15724,2000,11
15724,3000,12
15724,4000,6
15724,10000,6
15732,1000,20
15732,10000,22
15734,1000,18
15734,2000,14
15734,3000,14
15734,4000,16
15734,5000,16
15734,8000,18
15734,9000,14
15734,11000,14
15734,12000,23
15738,1000,22
15738,10000,22
1574,1000,23
1574,2000,21
1574,4000,22
1574,5000,23
1574,6000,25
1574,7000,23
1574,8000,21
1574,10000,20
15746,10000,13
15762,2000,20
15762,3000,20
15762,10000,21
15766,1000,17
15766,2000,19
15766,4000,23
15766,6000,15
15766,8000,13
15766,11000,18
15766,12000,17
15768,1000,17
15768,10000,15
15776,1000,12
15776,2000,13
15776,3000,14
15776,4000,14
15776,5000,19
15776,6000,11
15776,8000,14
15776,9000,13
15776,10000,15
15776,11000,12
15776,12000,10
15778,1000,20
15778,2000,16
15778,3000,17
15778,4000,12
15778,5000,12
15778,6000,15
15778,7000,17
15778,10000,19
15793,1000,20
15793,2000,20
15793,3000,19
15793,4000,18
15793,5000,21
15793,6000,20
15793,7000,18
15793,10000,19
15829,1000,12
15829,3000,12
15829,4000,9
15829,5000,9
15829,10000,11
15831,1000,21
15831,2000,20
15831,4000,20
15831,6000,15
15855,1000,14
15855,10000,16
15866,1000,16
15866,2000,12
15866,3000,14
15866,10000,13
15872,1000,11
15872,2000,8
15872,3000,11
15872,4000,9
15872,5000,11
15872,6000,9
15872,9000,11
15872,11000,16
15876,1000,18
15876,2000,23
15876,3000,20
15876,4000,20
15876,5000,21
15876,6000,15
15876,10000,16
15878,1000,18
15878,2000,19
15878,3000,17
15878,4000,14
15878,5000,13
15878,10000,16
1590,1000,13
1590,10000,16
15902,1000,8
15902,2000,14
15902,3000,14
15902,4000,12
15902,5000,11
15902,6000,8
15902,7000,12
15902,8000,10
15902,9000,7
15902,10000,9
15904,1000,28
15904,2000,18
15904,3000,17
15904,4000,24
15904,5000,24
15904,6000,26
15904,10000,21
15919,1000,14
15919,2000,8
15919,4000,6
15919,5000,5
15919,10000,15
15922,1000,22
15922,2000,24
15922,10000,16
15925,1000,21
15925,2000,21
15925,3000,15
15925,4000,21
15925,5000,23
15925,6000,20
15925,10000,21
15929,1000,26
15929,2000,18
15929,3000,23
15929,4000,23
15929,5000,9
15929,6000,15
15967,1000,20
15967,10000,20
15976,1000,12
15976,3000,19
15976,4000,14
15976,5000,16
15976,7000,16
15976,8000,19
15976,9000,13
15976,10000,15
15976,11000,23
15976,12000,19
16016,1000,13
16016,2000,13
1604,1000,23
1604,10000,21
16054,1000,11
16054,2000,10
16054,3000,12
16054,4000,16
16054,5000,8
16054,6000,8
16054,7000,17
16054,8000,13
16054,9000,14
16054,10000,10
16054,11000,14
16054,12000,12
16075,1000,5
16075,3000,10
16075,4000,13
16075,7000,14
16075,8000,19
16075,9000,13
16075,10000,10
16081,1000,15
16081,2000,14
16081,3000,17
16081,4000,17
16081,5000,17
16081,6000,19
16081,7000,18
16081,8000,16
16081,9000,16
16081,10000,15
16081,11000,12
16081,12000,13
16103,1000,16
16103,2000,23
16103,3000,20
16103,4000,24
16103,5000,16
16103,6000,18
16103,7000,18
16103,8000,25
16103,9000,27
16103,10000,18
16111,2000,10
16111,3000,18
16111,4000,17
16111,5000,17
16111,6000,18
16111,7000,18
16111,8000,13
16111,9000,14
16111,10000,16
16111,11000,11
16129,1000,24
16129,3000,24
16129,4000,22
16129,5000,24
16129,6000,28
16129,10000,20
16131,1000,21
16131,10000,20
16133,1000,17
16133,2000,9
16133,3000,12
16133,4000,12
16133,9000,10
16133,10000,13
16175,1000,26
16175,2000,19
16175,3000,17
16175,4000,22
16175,5000,22
16175,6000,14
16175,7000,23
16175,8000,21
16175,9000,20
16175,10000,18
16175,12000,17
16179,1000,23
16179,4000,20
16179,8000,14
16179,9000,16
16179,12000,18
1622,1000,12
1622,2000,13
1622,3000,16
1622,4000,14
1622,5000,17
1622,6000,14
1622,7000,19
1622,8000,21
1622,9000,22
1622,11000,13
16231,1000,25
16231,2000,26
16231,3000,26
16231,4000,22
16231,10000,22
16236,1000,11
16236,10000,12
16238,1000,12
16238,2000,14
16238,3000,13
16238,4000,12
16238,5000,11
16238,6000,10
16238,7000,12
16238,8000,9
16238,9000,8
16238,10000,13
16238,11000,10
16238,12000,10
1626,2000,21
1626,10000,19
1632,1000,13
1632,2000,6
1632,3000,12
1632,4000,7
1632,5000,15
1632,6000,12
1632,10000,12
1633,1000,27
1633,2000,21
1633,4000,21
1633,5000,21
1633,7000,21
1633,8000,21
1633,9000,17
1633,10000,23
1639,1000,27
1639,3000,18
1639,4000,20
1639,5000,19
1639,6000,22
1639,10000,25
1642,1000,23
1642,2000,16
1642,3000,22
1642,5000,16
1642,7000,12
1642,8000,18
1642,9000,16
1642,10000,19
1642,11000,19
1648,1000,18
1648,4000,11
1648,5000,12
1648,6000,16
1648,7000,12
1648,8000,14
1648,10000,19
1648,11000,14
1648,12000,18
1650,1000,12
1650,2000,25
1650,3000,23
1650,4000,24
1650,5000,18
1650,10000,11
1656,1000,11
1656,2000,14
1656,3000,15
1656,4000,14
1656,5000,10
1656,6000,15
1656,7000,16
1656,10000,12
1657,1000,11
1657,2000,13
1657,3000,16
1657,4000,15
1657,6000,13
1657,10000,10
1658,3000,15
1658,5000,24
1658,10000,26
1661,1000,25
1661,2000,21
1661,3000,21
1661,4000,27
1661,5000,21
1661,6000,22
1661,7000,23
1661,8000,20
1661,9000,19
1661,10000,23
1661,11000,17
1663,1000,22
1663,2000,15
1663,3000,18
1663,4000,18
1663,5000,20
1663,6000,18
1663,7000,19
1663,8000,19
1663,10000,15
1666,1000,20
1666,2000,15
1666,3000,14
1666,10000,17
1667,1000,20
1667,2000,26
1667,4000,23
1667,5000,21
1667,6000,23
1667,7000,23
1667,8000,21
1667,10000,21
1667,11000,27
1670,1000,10
1670,2000,5
1670,3000,5
1670,4000,6
1670,10000,8
1697,2000,8
1697,10000,7
1698,1000,23
1698,10000,18
1701,1000,21
1701,2000,20
1701,3000,23
1701,5000,22
1701,7000,21
1701,8000,20
1701,9000,19
1701,10000,20
1701,11000,23
1703,1000,18
1703,2000,22
1703,3000,23
1703,4000,23
1703,5000,22
1703,6000,23
1703,10000,19
1704,1000,9
1704,2000,11
1704,3000,8
1704,4000,7
1704,5000,9
1704,6000,10
1704,7000,14
1704,8000,10
1704,10000,9
1705,1000,16
1705,2000,9
1705,3000,10
1705,4000,11
1705,5000,12
1705,6000,10
1705,7000,4
1705,8000,6
1705,9000,5
1705,10000,13
1705,11000,6
1707,1000,14
1707,2000,12
1707,3000,14
1707,4000,14
1707,5000,16
1707,6000,14
1707,7000,13
1707,8000,10
1707,9000,12
1716,1000,19
1716,2000,26
1716,3000,29
17296,1000,26
17296,2000,18
17296,3000,19
17296,4000,17
17296,5000,15
17296,6000,14
17296,8000,13
17296,9000,16
17296,12000,12
17304,1000,21
17304,10000,19
17320,1000,16
17320,2000,13
17320,3000,20
17320,4000,15
17320,5000,13
17320,6000,17
17320,7000,18
17320,8000,15
17320,9000,18
17320,10000,19
17320,11000,16
17320,12000,10
17324,2000,12
17324,3000,8
17324,4000,12
17324,6000,9
17324,10000,11
17328,2000,12
17328,4000,9
17328,6000,11
17328,7000,9
17328,8000,8
17328,10000,7
17328,12000,11
1733,1000,9
1733,2000,11
1733,3000,15
1733,4000,8
1733,5000,9
1733,6000,14
1733,7000,17
1733,8000,9
1733,10000,9
17338,2000,10
17338,3000,11
17338,4000,7
17338,5000,8
17338,6000,10
17338,7000,4
17338,8000,13
17338,9000,8
17338,10000,7
17338,11000,9
17338,12000,11
1735,1000,22
1735,3000,24
1735,4000,23
1735,6000,24
1735,7000,21
17352,2000,7
17352,3000,6
17352,4000,7
17352,5000,9
17352,6000,10
17352,7000,5
17352,8000,9
17352,9000,14
17352,10000,10
17352,11000,17
17352,12000,14
17359,1000,13
17385,1000,15
17385,2000,12
17385,3000,14
17385,4000,13
17385,6000,9
17385,7000,11
17385,8000,8
17385,10000,13
17385,11000,9
17385,12000,12
17391,1000,12
17391,2000,11
17391,3000,9
17391,4000,15
17391,5000,13
17391,6000,10
17391,7000,13
17391,8000,14
17391,9000,10
17391,10000,12
17391,11000,12
17391,12000,11
17396,1000,27
17396,2000,18
17396,3000,19
17396,4000,19
17396,10000,20
17400,1000,14
17400,2000,10
17400,3000,13
17400,4000,14
17400,7000,13
17400,8000,18
17400,10000,13
17402,1000,13
17402,2000,13
17402,3000,9
17402,4000,14
17402,5000,12
17402,6000,12
17402,7000,14
17402,8000,13
17402,10000,13
17404,1000,21
17404,2000,17
17404,3000,23
17404,10000,20
17406,1000,21
17406,10000,19
17419,1000,23
17419,2000,19
17419,3000,21
17419,4000,15
17419,5000,22
17419,6000,19
17419,7000,20
17419,8000,22
17419,9000,17
17419,10000,22
17419,11000,14
17419,12000,13
1754,2000,18
1754,3000,19
1754,5000,14
1754,6000,18
1754,7000,21
1754,10000,18
1755,2000,10
1755,3000,11
1755,4000,11
1755,5000,8
1755,6000,9
1755,8000,9
1755,9000,11
1755,10000,10
1755,11000,11
1755,12000,10
1763,1000,25
1763,2000,24
1763,3000,15
1763,5000,18
1763,10000,14
1766,1000,30
1766,2000,20
1766,3000,17
1766,4000,20
1766,5000,15
1766,6000,16
