taxa,dataset_id,BIN,summed_pollen_count
Abies,1002,1,0
Abies,1002,2,72
Abies,1002,3,8
Abies,1002,11,0
Abies,1002,13,0
Abies,1002,14,0
Abies,1002,15,0
Abies,1002,16,0
Abies,1002,17,0
Abies,1002,18,9
Abies,1002,19,14
Abies,1002,20,97
Abies,1002,21,0
Acer saccharum-type,1002,1,186
Acer saccharum-type,1002,2,19
Acer saccharum-type,1002,3,4
Acer saccharum-type,1002,11,495
Acer saccharum-type,1002,13,535
Acer saccharum-type,1002,14,367
Acer saccharum-type,1002,15,309
Acer saccharum-type,1002,16,298
Acer saccharum-type,1002,17,380
Acer saccharum-type,1002,18,656
Acer saccharum-type,1002,19,120
Acer saccharum-type,1002,20,77
Acer saccharum-type,1002,21,440
Acer undiff.,1002,1,89
Acer undiff.,1002,2,2
Acer undiff.,1002,3,0
Acer undiff.,1002,11,46
Acer undiff.,1002,13,85
Acer undiff.,1002,14,70
Acer undiff.,1002,15,11
Acer undiff.,1002,16,32
Acer undiff.,1002,17,42
Acer undiff.,1002,18,45
Acer undiff.,1002,19,14
Acer undiff.,1002,20,2
Acer undiff.,1002,21,74
Alnus incana,1002,1,27
Alnus incana,1002,2,17
Alnus incana,1002,3,17
Alnus incana,1002,11,23
Alnus incana,1002,13,31
Alnus incana,1002,14,22
Alnus incana,1002,15,19
Alnus incana,1002,16,14
Alnus incana,1002,17,9
Alnus incana,1002,18,23
Alnus incana,1002,19,10
Alnus incana,1002,20,12
Alnus incana,1002,21,23
Alnus undiff.,1002,1,7
Alnus undiff.,1002,2,0
Alnus undiff.,1002,3,0
Alnus undiff.,1002,11,0
Alnus undiff.,1002,13,0
Alnus undiff.,1002,14,0
Alnus undiff.,1002,15,0
Alnus undiff.,1002,16,0
Alnus undiff.,1002,17,0
Alnus undiff.,1002,18,0
Alnus undiff.,1002,19,0
Alnus undiff.,1002,20,0
Alnus undiff.,1002,21,0
Alnus viridis,1002,1,0
Alnus viridis,1002,2,0
Alnus viridis,1002,3,1
Alnus viridis,1002,11,0
Alnus viridis,1002,13,0
Alnus viridis,1002,14,1
Alnus viridis,1002,15,0
Alnus viridis,1002,16,1
Alnus viridis,1002,17,0
Alnus viridis,1002,18,0
Alnus viridis,1002,19,0
Alnus viridis,1002,20,0
Alnus viridis,1002,21,0
Artemisia,1002,1,23
Artemisia,1002,2,26
Artemisia,1002,3,50
Artemisia,1002,11,7
Artemisia,1002,13,19
Artemisia,1002,14,15
Artemisia,1002,15,9
Artemisia,1002,16,8
Artemisia,1002,17,12
Artemisia,1002,18,17
Artemisia,1002,19,13
Artemisia,1002,20,27
Artemisia,1002,21,13
Betula,1002,1,336
Betula,1002,2,163
Betula,1002,3,105
Betula,1002,11,329
Betula,1002,13,379
Betula,1002,14,197
Betula,1002,15,121
Betula,1002,16,56
Betula,1002,17,63
Betula,1002,18,232
Betula,1002,19,353
Betula,1002,20,852
Betula,1002,21,326
Carya,1002,1,144
Carya,1002,2,14
Carya,1002,3,7
Carya,1002,11,205
Carya,1002,13,235
Carya,1002,14,202
Carya,1002,15,174
Carya,1002,16,128
Carya,1002,17,90
Carya,1002,18,145
Carya,1002,19,67
