taxon_name,Pollen_type
Dipsacoideae,Caprifoliaceae
Poaceae (Cerealia-type),Poaceae
Brassicaceae undiff.,Brassicaceae
Plantago undiff.,Plantago
Poaceae (Cerealia),Gramineae
Rumex undiff.,Rumex
Chenopodiaceae sensu stricto,Amaranthaceae
Faboideae,Faboidea
Ericales undiff.,undiff
Rumex subg. Acetosa,Rumex
Bistorta officinalis-type,Bistorta
Ephedra foeminea-type,Ephedra
Poaceae (Cerealia) undiff.,Gramineae
Silene-type undiff.,Silene
Viburnum undiff.,Viburnum
cf. Valeriana,Valeriana
Hippophaë,Hippophae
Acer undiff.,Acer
Angiospermae undiff. (herbs),undif
Asteraceae undiff.,Asteraceae
Caryophyllaceae undiff.,Caryophyllaceae
Convolvulaceae,Convolvulaceae
Fagopyrum undiff.,Fagopyrum
Hippophaë rhamnoides,Hippophae
Malvaceae sensu stricto,Malvaceae
Poaceae undiff.,Poaceae
Polygonaceae undiff.,Polygonaceae
Polygonum sensu lato undiff.,Polygonum
Ranunculaceae undiff.,Ranunculaceae
Thalictrum undiff.,Thalictrum
Valerianoideae,Stachytarpheta
Plantago uniflora,Plantago
Potentilla undiff.,Potentilla
Tsuga heterophylla,Tsuga
Polygonum oxyspermum subsp. raii,Polygonum
Spermatophyta undiff. (deciduous trees),undiff
Ericaceae undiff.,Ericaceae
Rhamnus cathartica,Rhamnus
Cichorioideae undiff.,Asteraceae
Persicaria,Persicaria
Lamiaceae undiff.,Lamiaceae
Micranthes stellaris-type,Micranthes
Mimulus,Mimulus
Poterium sanguisorba,Poterium
Silene flos-cuculi,Silene
Calceolaria,Calceolaria
Dalechampia,Dalechampia
Helianthus,Helianthus
Apiaceae undiff.,Apiaceae
Campanulaceae undiff.,Campanulaceae
Cyperaceae undiff.,Cyperaceae
Fabaceae undiff.,Fabaceae
Rosaceae undiff.,Rosaceae
Scrophulariaceae undiff.,Scrophulariaceae
Ranunculus undiff.,Ranunculus
Rhododendron tomentosum,Rhododendron
Rumex subg. Rumex,Rumex
Arctous alpina,Arctostaphylos
Astragalus/Oxytropis-type,Fabaceae
Micranthes stellaris,Micranthes
Salix undiff.,Salix
Valeriana excelsa subsp. sambucifolia-type,Valeriana
Bistorta officinalis,Bistorta
Cannabaceae undiff.,Cannabaceae
Cerastium cerastoides-type,Cerastium
Liliaceae undiff.,Liliaceae
Micranthes nivalis-type,Micranthes
cf. Artemisia,Artemisia
