taxon_name,Pollen_type
Equisetum,Equisetum
Equisetaceae,Equisetum
Anthoceros/Phaeoceros,Anthoceros/Phaeoceros
Anthoceros,Anthoceros/Phaeoceros
Anthocerothales,Anthoceros/Phaeoceros
Anthocerotaceae,Anthoceros/Phaeoceros
Anthocerotales (type 1),Anthoceros/Phaeoceros
Anthocerotales (type 2),Anthoceros/Phaeoceros
Anthocerotales (type 3),Anthoceros/Phaeoceros
Anthoceros crispulus,Anthoceros crispulus
Anthoceros punctatus,Anthoceros punctatus-type
Anthoceros punctatus-type,Anthoceros punctatus-type
Anthoceros laevis-type,Phaeoceros laevis-type
Anthoceros laevis,Phaeoceros laevis-type
Phaeoceros laevis,Phaeoceros laevis-type
Phaeoceros,Phaeoceros laevis-type
Phaeoceros laevis-type,Phaeoceros laevis-type
Anogramma leptophylla,Anogramma leptophylla
Anogramma,Anogramma leptophylla
Cheilanthes,Cheilanthes
Cheilanthes-type,Cheilanthes
Cosentinia,Cheilanthes
Cryptogramma crispa,Cryptogramma crispa
Cryptogramma,Cryptogramma crispa
Hymenophyllum,Hymenophyllum
Hymenophyllum wilsonii,Hymenophyllum wilsonii
Hymenophyllum tunbrigense,Hymenophyllum tunbrigense
Hymenophyllum flabellatum,Hymenophyllum flabellatum
Huperzia selago,Huperzia selago
Huperzia selago subsp. arctica,Huperzia selago
Huperzia arctica,Huperzia selago
Lycopodium selago,Huperzia selago
Huperzia,Huperzia selago
Huperzia selago-type,Huperzia selago
Lycopodium appressum,Huperzia selago
Huperzia selago subsp. arctica-type,Huperzia selago
Huperzia selago subsp. selago,Huperzia selago
Huperzia undifferentiated,Huperzia selago
Huperzia petrovii,Huperzia selago
Huperzia serrata,Huperzia serrata
Lycopodiaceae,Lycopodiaceae
Lycopodiaceae undifferentiated,Lycopodiaceae
Lycopodium-type,Lycopodiaceae
Lycopodium cf. L. selago,Lycopodiaceae
Lycopodiaceae sp.,Lycopodiaceae
Lycopodium,Lycopodium
Lycopodium cf. L. clavatum (tetrad),Lycopodium
Lycopodium undifferentiated,Lycopodium
Lycopodium cf. L. annotinum,Lycopodium
Lycopodium annotinum/Diphasium complanatum,Lycopodium
Lycopodium cf. L. complanatum,Lycopodium
Lycopodium indeterminata,Lycopodium
Lycopodium sp.,Lycopodium
Lycopodium cf. L. clavatum,Lycopodium
Lycopodium cf. L. alpinum,Lycopodium
Lycopodium clavatum,Lycopodium clavatum
Diphasium alpinum,Lycopodium clavatum-type
Diphasium cf. D. alpinum,Lycopodium clavatum-type
Diphasium complanatum-type,Lycopodium clavatum-type
Diphasium alpinum-type,Lycopodium clavatum-type
Lycopodium clavatum-type,Lycopodium clavatum-type
Diphasium complanatum,Lycopodium clavatum-type
Diphasium alpinum/D. complanatum,Lycopodium clavatum-type
Diphasium,Lycopodium clavatum-type
Diphasium-type,Lycopodium clavatum-type
Diphasium tristachyum,Lycopodium clavatum-type
Diphasium complanatum/D. tristachyum,Lycopodium clavatum-type
Diphasiastrum tristachyum,Lycopodium clavatum-type
Lycopodium clavatum/Diphasium,Lycopodium clavatum-type
Diphasiastrum alpinum,Lycopodium clavatum-type
Diphasiastrum,Lycopodium clavatum-type
Lycopodium alpinum-type,Lycopodium clavatum-type
Lycopodium alpinum,Lycopodium clavatum-type
Lycopodium alpinum/complanatum,Lycopodium clavatum-type
Lycopodium complanatum,Lycopodium clavatum-type
Diphasiastrum complanatum-type,Lycopodium clavatum-type
Diphasiastrum complanatum,Lycopodium clavatum-type
Diphasiastrum-type,Lycopodium clavatum-type
Diphasiastrum alpinum-type,Lycopodium clavatum-type
Lycopodium complanatum-type,Lycopodium clavatum-type
Diphasiastrum undifferentiated,Lycopodium clavatum-type
Lycopodium annotinum,Lycopodium annotinum-type
Lycopodium annotinum-type,Lycopodium annotinum-type
Lycopodium dubium,Lycopodium annotinum-type
Lycopodium pungens,Lycopodium annotinum-type
Lycopodium annotinum subsp. alpestre,Lycopodium annotinum-type
Lycopodium annotinum subsp. annotinum,Lycopodium annotinum-type
Lepidotis inundata,Lycopodiella inundata
Lycopodiella inundata,Lycopodiella inundata
Lycopodiella,Lycopodiella inundata
Lycopodium inundatum,Lycopodiella inundata
Lycopodium inundatum-type,Lycopodiella inundata
Lycopodium obscurum,Lycopodium obscurum
Lycopodium lagopus,Lycopodium lagopus
Clavatum-type/Diphasium,Lycopodium clavatum-type
Lycopodium juniperoideum,Lycopodium juniperoideum
Pilularia,Pilularia
Pilularia globulifera,Pilularia
Pteridium,Pteridium aquilinum
Pteridium aquilinum,Pteridium aquilinum
Pteridium-type,Pteridium aquilinum
Pteridium aquilinum-type,Pteridium aquilinum
Pteridium undifferentiated,Pteridium aquilinum
Selaginella,Selaginella
Selaginellaceae,Selaginella
Selaginella undifferentiated,Selaginella
Selaginella selaginoides,Selaginella selaginoides
Selaginella selaginoides-type,Selaginella selaginoides
Selaginella helvetica,Selaginella helvetica-type
Selaginella helvetica-type,Selaginella helvetica-type
Selaginella denticulata-type,Selaginella helvetica-type
Selaginella denticulata,Selaginella helvetica-type
Selaginella cf. denticula,Selaginella helvetica-type
Selaginella sibirica,Selaginella sibirica
Selaginella rupestris,Selaginella rupestris
Selaginella apoda,Selaginella apoda
Selaginella sanguinolenta,Selaginella sanguinolenta
Selaginella borealis,Selaginella borealis
Bryophyte spores,Bryophyte spores
Bryophyte spores undifferentiated,Bryophyte spores
Bryales,Bryophyte spores
Bryidae,Bryophyte spores
Bryophytes,Bryophyte spores
Bryales undifferentiated,Bryophyte spores
Bryophytes undifferentiated,Bryophyte spores
Sphagnum,Sphagnum
Sphagnales,Sphagnum
Sphagnum-type,Sphagnum
Encalypta rhabdocarpa,Encalypta rhabdocarpa
Hedwigia,Hedwigia
Encalypta,Encalypta
Philonotis,Philonotis
Polytrichum,Polytrichum
Dicranum,Dicranum
Hypnum,Hypnum
Acaulon-type,Acaulon-type
Encalypta-type,Encalypta-type
Meesia,Meesia
Trachyphyllum,Trachyphyllum
Dicranaceae,Dicranaceae
Filicopsida trilete undifferentiated,Trilete spore(s)
Pteridophyta trilete undifferentiated,Trilete spore(s)
Trilete spore(s) undifferentiated,Trilete spore(s)
Trilete spore(s),Trilete spore(s)
cf. Huperzia selago,Trilete spore(s)
cf. Pteridium,Trilete spore(s)
cf. Lycopodium clavatum,Trilete spore(s)
