taxon_name,Pollen_type
Abies,Abies
Acer negundo-type,Acer
Acer rubrum,Acer
Acer saccharum-type,Acer
Acer undiff.,Acer
Alnus incana-type,Alnus
Amaranthaceae undiff.,Amaranthaceae
Anacardiaceae undiff.,Anacardiaceae
Apiaceae,Apiaceae
Apocynum,Apocynum
Arecaceae undiff.,Arecaceae
Artemisia,Artemisia
Berberidaceae,Berberidaceae
Beta vulgaris-type,Beta
Betula,Betula
Brassica,Brassica
Brassicaceae undiff.,Brassicaceae
Bromeliaceae,Bromeliaceae
Bursera,Bursera
Byrsonima,Byrsonima
Campanulaceae,Campanulaceae
Carya,Carya
Caryophyllaceae,Caryophyllaceae
Ceanothus,Ceanothus
Cedrus,Cedrus
Celtis,Celtis
Cephalanthus,Cephalanthus
Ceratiola ericoides-type,Ceratiola
Chamaecrista fasciculata-type,Chamaecrista
Cistaceae,Cistaceae
Clethra,Clethra
Corylus,Corylus
Cupressaceae undiff.,Cupressaceae
Cyclachaena xanthiifolia-type,Cyclachaena
Cyperaceae,Cyperaceae
Cyrilla racemiflora,Cyrilla
Dalea,Dalea
Dalea candida-type,Dalea
Dalea purpurea,Dalea
Dalea undiff.,Dalea
Dodonaea,Dodonaea
Ericaceae,Ericaceae
Euphorbia,Euphorbia
Fabaceae undiff.,Fabaceae
Fagus,Fagus
Fraxinus nigra-type,Fraxinus
Fraxinus pennsylvanica-type,Fraxinus
Fraxinus undiff.,Fraxinus
Galium,Galium
Gentiana andrewsii-type,Gentiana
Gentianaceae undiff.,Gentianaceae
Gordonia,Gordonia
Hedyosmum,Hedyosmum
Hedysarum,Hedysarum
Ilex,Ilex
Impatiens,Impatiens
Iva frutescens-type,Iva
Juglans nigra-type,Juglans
Lamiaceae,Lamiaceae
Lechea,Lechea
Liquidambar,Liquidambar
Magnolia,Magnolia
Malvaceae,Malvaceae
Moraceae undiff.,Moraceae
Morus,Morus
Myrica,Myrica
Myrtaceae undiff.,Myrtaceae
Nyssa,Nyssa
Onagraceae,Onagraceae
Opuntia,Opuntia
Orchidaceae,Orchidaceae
Osmanthus,Osmanthus
Paronychia americana,Paronychia
Paronychia chartacea,Paronychia
Parthenocissus,Parthenocissus
Persicaria amphibia,Persicaria
Phoradendron,Phoradendron
Picea,Picea
Pinaceae (vesiculate) undiff.,Pinaceae
Pinus subg. Pinus,Pinus
Pinus subg. Strobus,Pinus
Pinus undiff.,Pinus
Plantago,Plantago
Platanus,Platanus
Poaceae,Poaceae
Podocarpus,Podocarpus
Polygalaceae,Polygalaceae
Polygonum delopyrum-type,Polygonum
Polygonum fimbriatum-type,Polygonum
Polygonum polygamum-type,Polygonum
Polygonum tenue-type,Polygonum
Populus,Populus
Quercus,Quercus
Ranunculaceae undiff.,Ranunculaceae
Rhamnaceae undiff.,Rhamnaceae
Rhus,Rhus
Rosaceae undiff.,Rosaceae
Rubiaceae undiff.,Rubiaceae
Rumex,Rumex
Rutaceae undiff.,Rutaceae
