taxon_name,level_6
Arctous alpina/A. rubra,Arctous
Cassiope-type,Cassiope
cf. Juglans,Juglans
cf. Lysimachia,Lysimachia
cf. Ostrya/Carpinus,Ostrya
Elaeagnus commutata,Elaeagnus
Picea glauca,Picea
Picea mariana,Picea
Picea undiff.,Picea
Populus balsamifera,Populus
Populus tremuloides,Populus
Rhododendron subsect. Ledum-type,Rhododendron
Shepherdia argentea,Shepherdia
Shepherdia canadensis,Shepherdia
Thalictrum/Coptis,Thalictrum
Acer saccharum-type,Acer
Amaranthaceae undiff.,Amaranthaceae
Cephalanthus,Cephalanthus
Corylus,Corylus
Fraxinus nigra-type,Fraxinus
Ilex/Nemopanthus undiff.,Ilex
Iva annua,Iva
Juglans cinerea,Juglans
Juglans nigra,Juglans
Juniperus/Thuja,Juniperus
Magnolia,Magnolia
Pinus strobus,Pinus
Rubiaceae undiff.,Rubiaceae
Sarcobatus vermiculatus,Sarcobatus
Apiaceae undiff.,Apiaceae
Cassiope,Cassiope
Cnidium,Cnidium
Dodecatheon,Dodecatheon
Douglasia,Androsace
Fabaceae undiff.,Fabaceae
Hedysarum,Hedysarum
Lagotis glauca,Lagotis
Lesquerella,Physaria
Liliaceae undiff.,Liliaceae
Lupinus,Lupinus
Mertensia-type,Mertensia
Micranthes hieraciifolia,Micranthes
Oxytropis,Oxytropis
Pedicularis lanceolata,Pedicularis
Phlox,Phlox
Plantago canescens,Plantago
Saxifraga cernua,Saxifraga
Saxifraga tricuspidata,Saxifraga
Mertensia,Mertensia
Acer cf. A. negundo,Acer
Ceanothus,Ceanothus
Cercocarpus,Cercocarpus
Elaeagnus/Shepherdia argentea,Elaeagnus
Lewisia,Lewisia
Pseudotsuga,Pseudotsuga
Arceuthobium,Arceuthobium
Ceanothus-type,Ceanothus
Cyclachaena xanthiifolia-type,Cyclachaena
Eriogonum,Eriogonum
Onagraceae,Onagraceae
Pinus albicaulis-type,Pinus
Pinus contorta-type,Pinus
Polygonum californicum-type,Polygonum
Pseudotsuga-type,Pseudotsuga
Scrophulariaceae-type,Scrophulariaceae
Sphaeralcea,Sphaeralcea
Tsuga mertensiana,Tsuga
Acer saccharum,Acer
Cornus canadensis,Cornus
Cornus racemosa,Cornus
Dalea,Dalea
Fraxinus nigra,Fraxinus
Fraxinus pennsylvanica,Fraxinus
Polygonum sensu lato,Polygonum
Shepherdia,Shepherdia
Betulaceae undiff.,Betulaceae
Coptis-type,Coptis
Cupressaceae undiff.,Cupressaceae
Pinus contorta,Pinus
Rubus-type undiff.,Rubus
Asteraceae undiff.,Asteraceae
Acer circinatum-type,Acer
Acer macrophyllum-type,Acer
Amelanchier-type,Amelanchier
Bistorta bistortoides-type,Bistorta
Cornus canadensis-type,Cornus
Eriogonum-type,Eriogonum
Garrya-type,Garrya
Hydrophyllaceae-type,Hydrophyllaceae
Lysichiton,Lysichiton
Thuja-type,Thuja
Alnus (pentaporate),Alnus
Alnus (tetraporate),Alnus
Amorpha,Amorpha
Cercocarpus-type,Cercocarpus
Ephedra trifurca-type,Ephedra
Ephedra undiff.,Ephedra
Ephedra viridis-type,Ephedra
Gilia,Gilia
Pedicularis contorta-type,Pedicularis
Pedicularis groenlandica-type,Pedicularis
Polemoniaceae undiff.,Polemoniaceae
Polygonum californicum,Polygonum
Purshia-type,Purshia
Ribes lacustre,Ribes
Ribes montigenum,Ribes
Ribes undiff.,Ribes
Acer rubrum,Acer
Acer saccharinum-type,Acer
Acer spicatum,Acer
Ephedra nevadensis-type,Ephedra
Fraxinus pennsylvanica-type,Fraxinus
Iva annua-type,Iva
Juglans cinerea-type,Juglans
Juglans nigra-type,Juglans
Pinus banksiana/P. resinosa,Pinus
Zanthoxylum,Zanthoxylum
Acer pensylvanicum,Acer
Acer saccharinum,Acer
Celtis/Maclura,Celtis
Cornus florida,Cornus
Hypoxis,Hypoxis
Itea,Itea
Juglans undiff.,Juglans
Liriodendron,Liriodendron
Persicaria hydropiper-type,Persicaria
Sanguisorba canadensis,Sanguisorba
cf. Saxifragaceae,Saxifragaceae
Cyclachaena xanthiifolia,Cyclachaena
Ephedra torreyana-type,Ephedra
Lamiaceae cf. Stachys,Lamiaceae
Ambrosia/Iva,Ambrosia
Amorpha-type,Amorpha
Dalea candida,Dalea
Dalea purpurea-type,Dalea
Dalea undiff.,Dalea
Populus tremuloides-type,Populus
Populus undiff.,Populus
Ranunculaceae (tricolpate),Ranunculaceae
Pinus banksiana,Pinus
Caprifoliaceae sensu lato,Caprifoliaceae
Micranthes foliolosa-type,Micranthes
Micranthes hieraciifolia-type,Micranthes
Pedicularis langsdorffii,Pedicularis
Picea/Pinus undiff.,Picea
Plantago canescens-type,Plantago
Saxifraga tricuspidata-type,Saxifraga
Bistorta bistortoides,Bistorta
Claytonia,Claytonia
Micranthes foliolosa,Micranthes
Hippophaë,Hippophae
Hippophaë rhamnoides,Hippophae
Alnus viridis subsp. crispa,Alnus
Aquifoliaceae,Aquifoliaceae
Cupressaceae/Taxaceae undiff.,Cupressaceae
Fraxinus americana,Fraxinus
Myricaceae undiff.,Myricaceae
Picea cf. P. glauca,Picea
Picea cf. P. mariana,Picea
Pinus det. P. banksiana/P. resinosa,Pinus
Pinus det. P. strobus,Pinus
Abies lasiocarpa,Abies
Acer glabrum,Acer
Agoseris glauca-type,Agoseris
Cornus sericea,Cornus
Solidago canadensis,Solidago
cf. Carya,Carya
cf. Celtis,Celtis
cf. Euphorbiaceae,Euphorbiaceae
cf. Phlox,Phlox
cf. Silene,Silene
Pinus edulis-type,Pinus
Pinus subg. Strobus undiff.,Pinus
Sarcobatus,Sarcobatus
Nitraria,Nitraria
Tamaricaceae,Tamaricaceae
Betula (shrub),Betula
Ilex/Nemopanthus,Ilex
Betula (small),Betula
Pinus subg. Pinus undiff.,Pinus
Acer macrophyllum,Acer
Alnus rubra,Alnus
Alnus viridis subsp. sinuata,Alnus
Alnus (hexaporate),Alnus
Amelanchier,Amelanchier
Chrysolepis,Chrysolepis
Anacardiaceae,Anacardiaceae
Cercis,Cercis
Nyctaginaceae,Nyctaginaceae
Onagraceae undiff.,Onagraceae
Cupressaceae/Taxaceae,Cupressaceae
Elaeagnus,Elaeagnus
Pinus edulis,Pinus
Pinus flexilis,Pinus
Pinus ponderosa,Pinus
Asteroideae (coarse spine),Asteraceae
Asteroideae (large),Asteraceae
Pinus aristata,Pinus
Pinus (large),Pinus
Pinus (small),Pinus
Dalea purpurea,Dalea
Alnus viridis subsp. crispa-type,Alnus
Caryophyllaceae cf. Dianthus,Caryophyllaceae
Ranunculus pensylvanicus-type,Ranunculus
Ambrosia/Iva annua,Ambrosia
Angiospermae undiff. (hardwood trees),undiff
Anacardiaceae undiff.,Anacardiaceae
Asteraceae (high spine),Asteraceae
Asteraceae (low spine),Asteraceae
Berberidaceae,Berberidaceae
Fraxinus pennsylvanica/F. americana-type,Fraxinus
Parthenocissus,Parthenocissus
Alnus hirsuta,Alnus
Betula pendula subsp. mandshurica,Betula
Chrozophora tinctoria,Chrozophora
Larix gmelinii,Larix
Phlox sibirica,Phlox
Picea obovata,Picea
Acalypha,Acalypha
Chamaecyparis thyoides,Chamaecyparis
Trema,Trema
Rhamnaceae/Vitaceae,Rhamnaceae
Fagaceae,Fagaceae
Pseudotsuga menziesii,Pseudotsuga
Acer circinatum,Acer
Alnus rubra-type,Alnus
Caprifoliaceae undiff.,Caprifoliaceae
Robinia,Robinia
Pinaceae undiff.,Pinaceae
Menispermaceae,Menispermaceae
Mitella,Mitella
Planera aquatica,Planera
Actaea rubra,Actaea
Clethra,Clethra
Mitchella repens,Mitchella
Myrica/Comptonia peregrina,Myrica
Allenrolfea occidentalis,Allenrolfea
Cactaceae,Cactaceae
Ephedra nevadensis,Ephedra
Ephedra viridis,Ephedra
cf. Diapensia lapponica,Diapensia
Comarum palustre-type,Comarum
Fagus grandifolia,Fagus
Viburnum edule,Viburnum
Cornus sericea-type,Cornus
Betula glandulosa,Betula
Adenostoma fasciculatum,Adenostoma
Adenostoma sparsifolium,Adenostoma
Pinus jeffreyi-type,Pinus
Quercus chrysolepis,Quercus
Trillium,Trillium
Castanopsis,Castanopsis
Celtis/Aphananthe,Celtis
Haloragis,Haloragis
Juglans/Pterocarya,Juglans
Quercus sect. Cyclobalanopsis,Quercus
Quercus subg. Quercus,Quercus
Ulmus/Zelkova,Ulmus/Zelkova
Chrysolepis/Lithocarpus,Chrysolepsis
Hydrophyllum,Hydrophyllum
Pinus monticola-type,Pinus
Araliaceae,Araliaceae
Carpinus tschonoskii,Carpinus
Castanea/Castanopsis,Castanea
Cupressaceae-type,Cupressaceae
Fagus crenata,Fagus
Fagus japonica,Fagus
Mallotus,Mallotus
Phellodendron,Phellodendron
Weigela,Weigela
Garrya,Garrya
Navarretia,Navarretia
Alnus (triporate),Alnus
Coptis,Coptis
Reynoutria,Reynoutria
Skimmia,Skimmia
Pinus monticola,Pinus
Purshia,Purshia
Picea glauca-type,Picea
Picea mariana-type,Picea
Castanea dentata,Castanea
Celtis occidentalis,Celtis
Corylus cornuta,Corylus
Platanus occidentalis,Platanus
Tsuga canadensis,Tsuga
Juniperus/Calocedrus,Juniperus
Quercus vaccinifolia-type,Quercus
Apocynaceae,Apocynaceae
Araceae,Araceae
Leptospermum,Leptospermum
Ulmaceae,Ulmaceae
Fraxinus (tetracolpate),Fraxinus
Fraxinus (tricolpate),Fraxinus
Alnus viridis subsp. sinuata-type,Alnus
Rhamnaceae undiff.,Rhamnaceae
Arecaceae,Arecaceae
Camassia,Camassia
Symphoricarpos,Symphoricarpos
cf. Aquilegia,Aquilegia
cf. Castanopsis,Castanopsis
cf. Collinsia,Collinsia
cf. Linanthus,Linanthus
cf. Lupinus,Lupinus
Elaeagnaceae,Elaeagnaceae
Phacelia,Phacelia
Sequoiadendron,Sequoiadendron
Abies balsamea,Abies
Fragaria,Fragaria
Larix laricina,Larix
Nemopanthus,Ilex
Pinus banksiana-type,Pinus
Taxus canadensis,Taxus
Tilia americana,Tilia
Viburnum nudum,Viburnum
cf. Vitis,Vitis
Gordonia,Gordonia
Liquidambar styraciflua,Liquidambar
Serenoa,Serenoa
Holodiscus,Holodiscus
Iva,Iva
Urticaceae/Moraceae,Urticaceae
Lysichiton americanus,Lysichiton
Castilleja,Castilleja
Cryptantha,Cryptantha
Erodium cicutarium,Erodium
Gossypium,Gossypium
Kallstroemia,Kallstroemia
Larrea,Larrea
Linanthus,Linanthus
Malvaceae undiff.,Malvaceae
Opuntia,Opuntia
Elaeagnaceae undiff.,Elaeagnaceae
Vitaceae,Vitaceae
Prunus pensylvanica,Prunus
Prunus undiff.,Prunus
Rhus typhina-type,Rhus
Tsuga undiff.,Tsuga
Nyssa sylvatica,Nyssa
Suaeda calceoliformis,Suaeda
Arceuthobium pusillum,Arceuthobium
cf. Cupressaceae,Cupressaceae
cf. Morus,Morus
Chamaesyce,Euphorbia
Hudsonia,Hudsonia
Cercocarpus/Purshia,Cercocarpus
Lycium,Lycium
Gentiana undiff.,Gentiana
Primulaceae undiff.,Primulaceae
Angiospermae undiff. (upland herbs),undiff
cf. Bistorta bistortoides,Bistorta
Chamaebatiaria millefolium,Chamaebatiaria
Monardella,Monardella
Plantaginaceae undiff.,Plantaginaceae
Iris versicolor,Iris
cf. Verbenaceae,Verbenaceae
Penstemon,Penstemon
Actaea,Actaea
Berberis repens,Mahonia
cf. Ceanothus,Ceanothus
Holodiscus-type,Holodiscus
cf. Rhus,Rhus
Fragaria-type,Fragaria
Leptosiphon,Leptosiphon
Commelinaceae,Commelinaceae
Caprifoliaceae sensu lato undiff.,Caprifoliaceae
Fraxinus americana-type,Fraxinus
Juniperus communis/Thuja occidentalis-type,Juniperus
Morus rubra-type,Morus
Taxodium,Taxodium
Pedicularis undiff.,Pedicularis
Aralia hispida,Aralia
Carya ovata,Carya
Cornus alternifolia,Cornus
Viburnum lentago,Viburnum
Claytonia acutifolia,Claytonia
Dacrydium,Dacrydium
Draba,Draba
Koenigia sect. Aconogonon,Koenigia
Picea sect. Eupicea,Picea
Picea sect. Omorika,Picea
Podocarpus,Podocarpus
Tsuga diversifolia,Tsuga
Maclura pomifera-type,Maclura
Tidestromia-type,Tidestromia
Chrysolepis-type,Chrysolepsis
Fraxinus latifolia,Fraxinus
Shepherdia canadensis-type,Shepherdia
Taxus brevifolia,Taxus
Ceratiola ericoides,Ceratiola
Sabal,Sabal
Arceuthobium americanum,Arceuthobium
Betula det. shrub,Betula
Betula det. tree,Betula
Picea det. P. glauca,Picea
Picea det. P. mariana,Picea
Diospyros-type,Diospyros
Rhamnaceae/Vitaceae undiff.,Rhamnaceae
Impatiens capensis,Impatiens
Caltha leptosepala,Caltha
Coptis aspleniifolia,Coptis
Gentiana douglasiana,Gentiana
Arecaceae-type undiff.,Arecaceae
Avicennia,Avicennia
Coccoloba,Coccoloba
Conocarpus,Conocarpus
Dodonaea,Dodonaea
Eugenia-type,Eugenia
Forestiera,Forestiera
Laguncularia,Laguncularia
Rhizophora,Rhizophora
Rhus/Toxicodendron,Rhus
Rutaceae undiff.,Rutaceae
Sapindaceae undiff.,Sapindaceae
Sisyrinchium-type,Sisyrinchium
Rhododendron subsect. Ledum/Chamaedaphne calyculata,Rhododendron
Toxicodendron radicans,Toxicodendron
Nemopanthus mucronatus,Ilex
Oxytropis maydelliana-type,Oxytropis
Pinus resinosa-type,Pinus
Prunus virginiana,Prunus
Rosaceae cf. Prunus serotina,Rosaceae
Salix vestita-type,Salix
Acer nigrum,Acer
Carya cordiformis,Carya
Populus deltoides-type,Populus
Agastache,Agastache
Cistanthe,Cistanthe
Polygonum sect. Duravia,Polygonum
Ranunculus orthorhynchus,Ranunculus
Pinus/Picea,Pinus/Picea
Calceolaria,Calceolaria
Dalechampia,Dalechampia
Portulaca oleracea-type,Portulaca
Primula vulgaris,Primula
Iva undiff.,Iva
Lagotis,Lagotis
Gentianaceae undiff.,Gentianaceae
Salix reticulata-type,Salix
Myrica/Comptonia,Myrica
Pinus subsect. Cembroides,Pinus
Rhamnus alnifolia/Frangula alnus,Rhamnus
Pedicularis verticillata,Pedicularis
Agave,Agave
Allionia,Allionia
Canotia,Canotia
Fouquieria,Fouquieria
Hydrophyllaceae,Hydrophyllaceae
Mimosa,Mimosa
Parkinsonia,Parkinsonia
Portulacaceae,Portulacaceae
Prosopis,Prosopis
Simmondsia chinensis,Simmondsia
Tidestromia,Tidestromia
Yucca,Yucca
Anemone canadensis-type,Anemone
Campanula rotundifolia-type,Campanula
cf. Parnassia,Parnassia
Gaura,Oenothera
Momipites,Momipites
Pediomelum-type,Pediomelum
Pinaceae (vesiculate) undiff.,Pinaceae
Ranunculaceae (pericolpate),Ranunculaceae
Ranunculaceae (tricolpate) undiff.,Ranunculaceae
Symphoricarpos-type,Symphoricarpos
Zigadenus,Zigadenus
Apocynum,Apocynum
Dicentra,Dicentra
Menispermum,Menispermum
Fritillaria camschatcensis,Fritillaria
Oplopanax horridus,Oplopanax
Picea sitchensis,Picea
