neotoma_names,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Abies,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,NA
Acer negundo-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Acer rubrum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum
Acer saccharum-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Acer undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
Alnus incana-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,NA
Amaranthaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,NA
Anacardiaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,NA
Apiaceae,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apiaceae,NA
Apocynum,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Apocynum,NA
Arecaceae undiff.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Arecaceae,NA
Artemisia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,NA
Berberidaceae,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberidaceae,NA
Beta vulgaris-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Beta,NA
Betula,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,NA
Brassica,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
Brassicaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,NA
Bromeliaceae,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromeliaceae,NA
Bursera,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bursera,NA
Byrsonima,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,NA
Campanulaceae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,NA
Carya,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
Caryophyllaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,NA
Ceanothus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,NA
Cedrus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,NA
Celtis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,NA
Cephalanthus,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cephalanthus,NA
Ceratiola ericoides-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Ceratiola,NA
Chamaecrista fasciculata-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,NA
Cistaceae,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistaceae,NA
Clethra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA
Corylus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,NA
Cupressaceae undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
Cyclachaena xanthiifolia-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyclachaena,NA
Cyperaceae,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperaceae,NA
Cyrilla racemiflora,Plantae,Tracheophyta,Magnoliopsida,Ericales,Cyrillaceae,Cyrilla,Cyrilla racemiflora
Dalea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dalea candida-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dalea purpurea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea purpurea
Dalea undiff.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalea,NA
Dodonaea,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,NA
Ericaceae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Ericaceae,NA
Euphorbia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,NA
Fabaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae,NA
Fagus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,NA
Fraxinus nigra-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Fraxinus pennsylvanica-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Fraxinus undiff.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
Galium,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,NA
Gentiana andrewsii-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,NA
Gentianaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,NA
Gordonia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Gordonia,NA
Hedyosmum,Plantae,Tracheophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA
Hedysarum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hedysarum,NA
Ilex,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
Impatiens,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NA
Iva frutescens-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Iva,NA
Juglans nigra-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
Lamiaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,NA
Lechea,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Lechea,NA
Liquidambar,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,NA
Magnolia,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,NA
Malvaceae,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaceae,NA
Moraceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Moraceae,NA
Morus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,NA
Myrica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Myrica,NA
