taxon_name,level_6
Corylus,Corylus
Rubiaceae undiff.,Rubiaceae
Apiaceae undiff.,Apiaceae
Fabaceae undiff.,Fabaceae
Liliaceae undiff.,Liliaceae
Onagraceae,Onagraceae
Asteraceae undiff.,Asteraceae
Ephedra undiff.,Ephedra
Betula sect. Apterocaryon,Betula
Betula sect. Betula,Betula
Pinus sylvestris,Pinus
Calluna vulgaris,Calluna
Cannabaceae-type,Cannabaceae
Centaurea cyanus,Centaurea
Dipsacoideae,Caprifoliaceae
Frangula alnus,Frangula
Hedera,Hedera
Viscum,Viscum
Calluna,Calluna
Crataegus,Crataegus
Erica-type,Erica
Narthecium,Narthecium
Pulmonaria obscura-type,Pulmonaria
Rhinanthus,Rhinanthus
Rumex acetosa,Rumex
Rumex obtusifolius,Rumex
Scabiosa,Scabiosa
Serratula-type,Serratula
Sinapis-type,Sinapsis
Succisa,Succisa
Ulex,Ulex
Faboideae,Faboidea
Plantago maritima,Plantago
Betula nana-type,Betula
Rumex subg. Acetosa,Rumex
Abies alba,Abies
Barbarea-type,Barbarea
Cardamine pratensis-type,Cardamine
Carpinus betulus,Carpinus
Centaurea scabiosa,Centaurea
Chrysosplenium,Chrysosplenium
Corylus avellana,Corylus
Echium,Echium
Ephedra foeminea-type,Ephedra
Fagus sylvatica,Fagus
Lamium-type,Lamium
Larix decidua,Larix
Lysimachia vulgaris-type,Lysimachia
Petasites-type,Petasites
Picea abies,Picea
Pleurospermum,Pleurospermum
Ranunculus arvensis-type,Ranunculus
Sanguisorba officinalis,Sanguisorba
Senecio-type,Senecio
Silene-type,Silene
Silene-type undiff.,Silene
Trifolium pratense-type,Trifolium
cf. Valeriana,Valeriana
Dryas octopetala,Dryas
Hippophaë,Hippophae
Hordeum-type,Hordeum
Lathyrus-type,Lathyrus
Lonicera-type,Lonicera
Mercurialis,Mercurialis
Oxalis-type,Oxalis
Oxyria-type,Oxyria
Acer platanoides,Acer
Alnus glutinosa,Alnus
Echinops,Echinops
Fagopyrum esculentum,Fagopyrum
Fagopyrum tataricum,Fagopyrum
Fagopyrum undiff.,Fagopyrum
Hippophaë rhamnoides,Hippophae
Knautia arvensis,Knautia
Plumbaginaceae,Plumbaginaceae
Spergula/Spergularia,Spergula
Thalictrum aquilegiifolium,Thalictrum
Thalictrum lucidum,Thalictrum
Thalictrum undiff.,Thalictrum
Ulmus glabra,Ulmus
Ulmus laevis,Ulmus
Ulmus minor,Ulmus
Vitis vinifera,Vitis
Arctium,Arctium
Hypericaceae,Hypericaceae
Matricaria,Matricaria
Tilia platyphyllos,Tilia
Tilia cordata,Tilia
cf. Celtis,Celtis
cf. Euphorbiaceae,Euphorbiaceae
cf. Silene,Silene
Anagallis-type,Lysimachia
Arbutus unedo,Arbutus
Armeria maritima (type A),Armeria
Conopodium-type,Conopodium
Erica tetralix,Erica
Fraxinus excelsior,Fraxinus
Hedera helix,Hedera
Ilex aquifolium,Ilex
Juglans regia,Juglans
Lonicera periclymenum,Lonicera
Narthecium ossifragum,Narthecium
Plantago coronopus,Plantago
Potentilla undiff.,Potentilla
Rhinanthus-type,Rhinanthus
Scrophularia-type,Scrophularia
Taxus baccata,Taxus
Teucrium,Teucrium
Urtica dioica,Urtica
Vicia,Vicia
Nitraria,Nitraria
Tamaricaceae,Tamaricaceae
Cercis,Cercis
Nyctaginaceae,Nyctaginaceae
Alnus hirsuta,Alnus
Alnus viridis subsp. fruticosa,Alnus
Betula nana subsp. exilis,Betula
Betula pendula subsp. mandshurica,Betula
Chrozophora tinctoria,Chrozophora
Larix gmelinii,Larix
Phlox sibirica,Phlox
Picea obovata,Picea
Ranunculus lingua,Ranunculus
Buxus,Buxus
Celtis/Aphananthe,Celtis
Cryptomeria,Cryptomeria
Haloragis,Haloragis
Juglans/Pterocarya,Juglans
Ligustrum,Ligustrum
Quercus sect. Cyclobalanopsis,Quercus
Quercus subg. Quercus,Quercus
Sciadopitys,Sciadopitys
Ulmus/Zelkova,Ulmus/Zelkova
Carpinus tschonoskii,Carpinus
Castanea/Castanopsis,Castanea
Fagus crenata,Fagus
Fagus japonica,Fagus
Mallotus,Mallotus
Phellodendron,Phellodendron
Weigela,Weigela
Carduoideae,Asteraceae
Clematis-type,Clematis
Reynoutria,Reynoutria
Skimmia,Skimmia
Betula/Corylus/Myrica,Fagales
Polygonum oxyspermum subsp. raii,Polygonum
Ranunculus acris,Ranunculus
Valerianella,Valerianella
cf. Castanopsis,Castanopsis
Malvaceae undiff.,Malvaceae
Primulaceae undiff.,Primulaceae
Anchusa,Anchusa
Daphne,Daphne
