taxa,woodiness,"total_plant_height $\textgreater$ 1.5m (T/F, woody only)",native
Acalypha-type,non-woody,n/a,n/a
Aconitum,non-woody,n/a,n/a
Allium,non-woody,n/a,n/a
Amaranthaceae,non-woody,n/a,n/a
Amaranthaceae undiff,non-woody,n/a,n/a
Ambrosia,non-woody,n/a,n/a
Ambrosia-type,non-woody,n/a,n/a
Anacardiaceae undiff,woody,T,yes
Anemone canadensis-type,non-woody,n/a,n/a
Anemone-type,non-woody,n/a,n/a
Angiospermae undiff (herbs),non-woody,n/a,n/a
Apiaceae,non-woody,n/a,n/a
Apocynum,non-woody,n/a,n/a
Arceuthobium,woody,F,yes
Arceuthobium/Loranthaceae,woody,F,yes
Artemisia,woody,F,yes
Asteraceae undiff,non-woody,n/a,n/a
Asteroideae,non-woody,n/a,n/a
Asteroideae undiff,non-woody,n/a,n/a
Astragalus,non-woody,n/a,n/a
Avena-type,non-woody,n/a,n/a
Berberidaceae,woody,T,yes
Beta vulgaris-type,non-woody,n/a,n/a
Betulaceae undiff,woody,T,yes
Bistorta bistortoides,non-woody,n/a,n/a
Bistorta officinalis,non-woody,n/a,n/a
Bistorta vivipara,non-woody,n/a,n/a
Boraginaceae,non-woody,n/a,n/a
Brassica,non-woody,n/a,n/a
Brassicaceae,non-woody,n/a,n/a
Brassicaceae undiff,non-woody,n/a,n/a
Bromeliaceae,non-woody,n/a,n/a
Bursera,woody,T,no
Byrsonima,woody,T,no
Cactaceae,woody,F,yes
Campanulaceae,non-woody,n/a,n/a
Cannabis-type,non-woody,n/a,n/a
Caprifoliaceae sensu lato,woody,T,yes
Caprifoliaceae sensu lato undiff,woody,T,yes
Caryophyllaceae,non-woody,n/a,n/a
Cedrus,woody,T,no
Celtis-type,woody,T,yes
Araliaceae,woody,T,yes
Dodecatheon,non-woody,n/a,n/a
Hypericum,woody,T,yes
Oxalis,non-woody,n/a,n/a
Oxyria digyna,non-woody,n/a,n/a
Physalis,non-woody,n/a,n/a
Verbenaceae,woody,T,yes
Weinmannia,woody,T,no
Chamaecrista,woody,F,yes
Chamaecrista fasciculata-type,woody,F,yes
Chamaecrista-type,woody,F,yes
Chamaecyparis-type,woody,T,yes
Cichorioideae,non-woody,n/a,n/a
Cirsium,non-woody,n/a,n/a
Cistaceae,woody,F,no
Claytonia,non-woody,n/a,n/a
Combretaceae/Melastomataceae undiff,woody,T,no
Cupressaceae,woody,T,yes
Cupressaceae undiff,woody,T,yes
Cyclachaena xanthiifolia,non-woody,n/a,n/a
Cyclachaena xanthiifolia-type,non-woody,n/a,n/a
Cyperaceae,non-woody,n/a,n/a
Dalea,woody,F,yes
Dalea candida-type,woody,F,yes
Dalea purpurea,woody,F,yes
Dalea undiff,woody,F,yes
Dianthus-type,non-woody,n/a,n/a
Diapensia,woody,F,yes
Dryas,woody,F,yes
Dryas-type,woody,F,yes
Elaeagnaceae undiff,woody,T,yes
Empetrum,woody,F,yes
Engelhardia-type,woody,T,no
Epilobium,non-woody,n/a,n/a
