neotoma_names,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Acalypha-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,NA
Ambrosia-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia
Arceuthobium/Loranthaceae,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Arceuthobium,NA
Avena-type,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,NA
cf. Araliaceae,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Araliaceae,NA
cf. Hypericum,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,NA
cf. Oxalis,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,NA
cf. Physalis,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,NA
cf. Verbenaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbenaceae,NA
cf. Weinmannia,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Cunoniaceae,Weinmannia,NA
Chamaecrista-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,NA
Chamaecyparis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,NA
Cichorioideae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,NA
Combretaceae/Melastomataceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretaceae,NA
Dianthus-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,NA
Engelhardia-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Engelhardia,NA
Eryngium-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,NA
Froelichia-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,NA
Gomphrena-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Gomphrena,NA
Larix/Pseudotsuga,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Larix,NA
Ledum-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,NA
Ludwigia-type,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,NA
Lupinus-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,NA
mimosoid clade,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae,NA
Ostrya/Carpinus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,NA
Piperaceae-type,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piperaceae,NA
Rhexia-type,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Rhexia,NA
Saxifraga-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,NA
Scrophulariaceae-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophulariaceae,NA
Urtica-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,NA
Urticalean Rosids undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosales,Rosales,NA
Zanthoxylum-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,NA
Angiospermae undiff. (herbs),Plantae,NA,NA,NA,NA,NA,NA
Bidens-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,NA
Elaeagnus/Shepherdia argentea,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,NA
Ostrya-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,NA
Spermatophyta undiff. (trees/shrubs),Plantae,NA,NA,NA,NA,NA,NA
Amorpha-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Amorpha,NA
Humulus-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,NA
Stachys-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,NA
Prunus/Amelanchier,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,NA
Humulus/Cannabis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,NA
Spermatophyta undiff. (trees),Plantae,NA,NA,NA,NA,NA,NA
Juniperus/Thuja,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
cf. Oxyria digyna,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Oxyria,Oxyria digyna
Ilex/Nemopanthus,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
Juniperus-type,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
Crataegus-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,NA
