LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	×Sorbaronia fallax	455230	Sorbaronia_x fallax	5982390	57851434	18	Plant height	8030	Plant height minimum	Height	2	m	Single				2	m			1.70631	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Abies alba	29	Abies alba	5982391	57851443	18	Plant height	8030	Plant height minimum	Height	20	m	Single				20	m			3.53422	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Abies concolor	39	Abies concolor	5982392	57851452	18	Plant height	8030	Plant height minimum	Height	20	m	Single				20	m			3.53422	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Abies grandis	50	Abies grandis	5982393	57851461	18	Plant height	8030	Plant height minimum	Height	25	m	Single				25	m			3.71136	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Abies nordmanniana	62	Abies nordmanniana	5982394	57851470	18	Plant height	8030	Plant height minimum	Height	20	m	Single				20	m			3.53422	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Abutilon theophrasti	139	Abutilon theophrasti	5982395	57851479	18	Plant height	8030	Plant height minimum	Height	0.2	m	Single				0.2	m			1.40359	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Acer campestre	797	Acer campestre	5982396	57851488	18	Plant height	8030	Plant height minimum	Height	5	m	Single				5	m			2.43371	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Acer ginnala	873	Acer tataricum	5982397	57851497	18	Plant height	8030	Plant height minimum	Height	2	m	Single				2	m			2.55558	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Acer negundo	841	Acer negundo	5982398	57851506	18	Plant height	8030	Plant height minimum	Height	10	m	Single				10	m			2.98396	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
Danihelka	Jiøí	500	Pladias: Life forms and heights of the Czech flora	Acer palmatum	849	Acer palmatum	5982399	57851515	18	Plant height	8030	Plant height minimum	Height	1	m	Single				1	m			3.97426	Kaplan Z., Danihelka J., Chrtek J. jun., Kirschner J., Kubát K., Štech M. & Št&#283;pánek J. (eds) (2019): Klí&#269; ke kv&#283;ten&#283; &#268;eské republiky [Key to the flora of the Czech Republic]. Ed. 2. Academia, Praha.			
