Taxon name orig.,Pollen type
Alnus,Alnus
Betula,Betula
Picea,Picea
Populus,Populus
Salix,Salix
Juniperus,Juniperus/Thuja
Pinus,Pinus
Sarcobatus vermiculatus,Sarcobatus
Quercus,Quercus
Ephedra,Ephedra
Fraxinus,Fraxinus
Abies,Abies
Acer macrophyllum-type,Acer
Alnus rubra-type,Alnus
Alnus viridis-type,Alnus
Chrysolepis,Chrysolepis
Corylus,Corylus
Frangula purshiana-type,Frangula
Fraxinus latifolia,Fraxinus
Myrica,Myrica/Comptonia
Pinus contorta/P. ponderosa,Pinus
Pinus undiff.,Pinus
Populus trichocarpa-type,Populus
Pseudotsuga menziesii,Pseudotsuga
Taxus brevifolia,Taxus
Tsuga heterophylla,Tsuga
Ceanothus,Ceanothus
Acer circinatum-type,Acer
Pinus monticola/P. albicaulis,Pinus
Sambucus,Sambucus
Populus tremuloides-type,Populus
Garrya,Garrya
Cornus,Cornus
Tsuga mertensiana,Tsuga
Viburnum,Viburnum
Shepherdia canadensis,Shepherdia
Celtis,Celtis
Fraxinus nigra-type,Fraxinus
Larix,Larix
Ostrya/Carpinus,Ostrya/Carpinus
Pinus banksiana/P. resinosa,Pinus
Pinus strobus,Pinus
Tilia,Tilia
Ulmus,Ulmus
Acer saccharum,Acer
Morus,Morus
Carya,Carya
Juglans cinerea-type,Juglans
Amorpha,Amorpha
Fraxinus pennsylvanica-type,Fraxinus
Acer rubrum,Acer
cf. Ceanothus,Ceanothus
Liquidambar,Liquidambar
Tsuga,Tsuga
Acer negundo,Acer
Acer saccharinum-type,Acer
Platanus,Platanus
Juglans nigra-type,Juglans
Rhus/Toxicodendron cf. T. radicans,Rhus/Toxicodendron
Fraxinus undiff.,Fraxinus
cf. Sambucus,Sambucus
Shepherdia argentea,Shepherdia
Alnus incana-type,Alnus
Pinus subg. Pinus,Pinus
Pinus subg. Strobus,Pinus
Alnus undiff.,Alnus
Cephalanthus,Cephalanthus
Fagus,Fagus
Juglans nigra,Juglans
Juglans undiff.,Juglans
Nyssa,Nyssa
Castanea,Castanea
Juglans cinerea,Juglans
Leitneria floridana,Leitneria
Ilex,Ilex
Acer saccharum-type,Acer
Magnolia,Magnolia
Prunus/Sorbus,Prunus/Sorbus
Aesculus,Aesculus
Abies balsamea,Abies
Acer spicatum,Acer
Carya ovata,Carya
Corylus cornuta,Corylus
Juniperus-type,Juniperus/Thuja
Juniperus communis/Thuja occidentalis-type,Juniperus/Thuja
Myrica gale,Myrica/Comptonia
Picea mariana-type,Picea
Picea undiff.,Picea
Pinus banksiana-type,Pinus
Populus balsamifera-type,Populus
Prunus pensylvanica,Prunus/Sorbus
Salix undiff.,Salix
Castanea dentata,Castanea
Tsuga canadensis,Tsuga
Picea glauca-type,Picea
Taxus,Taxus
Acer pensylvanicum,Acer
Viburnum opulus,Viburnum
Viburnum edule,Viburnum
Populus grandidentata-type,Populus
Prunus undiff.,Prunus/Sorbus
cf. Sarcobatus vermiculatus,Sarcobatus
Viburnum nudum,Viburnum
Holodiscus,Holodiscus
Rhamnus,Rhamnus
Ribes,Ribes
Rhus,Rhus/Toxicodendron
Symphoricarpos,Symphoricarpos
Fraxinus (tetracolpate),Fraxinus
Fraxinus (tricolpate),Fraxinus
Nemopanthus,Ilex
Shepherdia,Shepherdia
Juglans,Juglans
Acer,Acer
Cephalanthus occidentalis,Cephalanthus
Fagus grandifolia,Fagus
Liquidambar styraciflua,Liquidambar
Platanus occidentalis,Platanus
Diospyros,Diospyros
Acer undiff.,Acer
Picea glauca,Picea
Picea mariana,Picea
Taxodium,Taxodium
Liriodendron,Liriodendron
Adiantum,Adiantum
Fraxinus americana,Fraxinus
Fraxinus nigra,Fraxinus
Ilex/Nemopanthus,Ilex
Celtis occidentalis,Celtis
Acer nigrum,Acer
Prunus,Prunus/Sorbus
