dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,pollen_percentage,young_age,old_age,end_of_interest_period,source_of_data,data_publicity,doi
1001,HAIL,970,Hail Lake,-129.01667,60.03333,743,Glacial Origin Lake,North America,Canada,North America,84,71,11702,8,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n31d9w
1002,HAMSLAKE,971,Hams Lake,-80.41333,43.23667,267,Kettle Lake,North America,Canada,North America,85,-25,12500,11,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n39k8q
1003,HANGING,972,Hanging Lake,-138.38333,68.38333,530,Lacustrine,North America,Canada,North America,79,0,19519.5,22,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n35s6s
1006,HARDING,975,Harding Lake,-146.9075,64.44444,192,Lacustrine,North America,United States,North America,25,35,16319,5,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3hf05
1013,HAYLAKE,982,Hay Lake,-109.425,34,2807,Natural Lake,North America,United States,North America,19,98.5,18412,5,Radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/n38k71
1030,HEDRICK,997,Hedrick Pond,-110.6,43.75,2082,Kettle Lake,North America,United States,North America,70,-1,19688,6,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3bd08
1104,HIDDEN,1071,Hidden Lake,-150.32555,60.46562,76,Glacial Scour Lake,North America,United States,North America,29,45,16245.5,6,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3c717
1105,HIGHLAKE,1072,High Lake,-76.6,44.51667,143,Glacial Origin Lake,North America,Canada,North America,191,0,11358,8,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n37d9r
1107,HONEYMOO,1074,Honeymoon Pond,-138.4,64.63333,1220,Glacial Origin Lake,North America,Canada,North America,71,29,10620,15,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n33q7v
1142,IGLUTALK,1109,Iglutalik Lake,-66.08333,66.135,74,Lacustrine,North America,Canada,North America,69,6.5,10132.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3803n
1148,INDIANPF,1114,Indian Prairie Fen,-122.575,44.63333,1241,Fen,North America,United States,North America,47,380,15012.5,7,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n36b0b
1152,IRONBOG,1118,Keystone Iron Fen,-107.03333,38.865,2881,Fen,North America,United States,North America,31,-5,9222,6,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3704q
1153,IRVIN,1119,Irvin Lake,-93.64361,47.13556,444,Kettle Lake,North America,United States,North America,49,-32,10411.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3392t
1154,ITAPEVA,1120,Morro de Itapeva,-45.53333,-22.78333,1637,Bog,Latin America,Brazil,Latin America,37,-44,19659,6,Radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3jm87
1155,IVAN3,1121,Ivanovskoye Peat Bog,38.76667,56.81667,152,Palustrine,Asia,Russia,Asia,33,338,9879.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3dt69
1160,JACKSON,1125,Jackson Pond,-85.7263,37.43148,260,Solution Origin Lake,North America,United States,North America,48,-31,19805,7,Radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3634f
12,AGE,12,Ageröds Mosse,13.41701,55.92856,47,Raised Bog,Europe,Sweden,Europe,135,-6,8932,22,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/znex-sp94
1255,JEWELL,1220,Jewell Site,-93.7,42.26,323,Mire,North America,United States,North America,53,1212,11702,5,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3h72v
13029,SHARKEY,8551,Sharkey Lake,-93.4148,44.5909,306,Kettle Lake,North America,United States,North America,163,1334.5,11997,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/qf6p-8j75
13051,WESTOLAF,8561,West Olaf Lake,-96.198,46.5929,393,Kettle Lake,North America,United States,North America,78,64,8984.5,11,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/g3qv-vs64
13053,SANNICOL,8562,Hoya San Nicolás,-101.261,20.383,1704,Explosion Crater Lake,Latin America,Mexico,Latin America,58,-15,9782,5,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/zvn7-m788
13055,RINCON01,8563,Hoya Rincon de Parangueo,-101.256,20.4257,1682,Explosion Crater Lake,Latin America,Mexico,Latin America,61,322,9626,8,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/7436-ph05
13097,GLIMML1,8586,Glimmerglass Lake,-89.32331,46.21253,522,Glacial Origin Lake,North America,United States,North America,35,48,11539,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/7dx1-dt81
1390,JOELAKE,1355,Joe Lake,-157.21667,66.76667,114,Kettle Lake,North America,United States,North America,47,148.5,19043.5,12,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n39t6c
14110,KELLYSLO,9591,Kelly's Lough,-6.42829,52.95764,570,Cirque Lake,Europe,Ireland,Europe,100,-16,11216,15,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/x34r-6x54
14289,LOUGHCAM,9698,Lough Camclaun,-10.16866,52.19109,217,Cirque Lake,Europe,Ireland,Europe,82,-40,10939.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/yczc-8b58
1432,KAIYAK,1396,Kaiyak Lake,-161.41667,68.15,184,Glacial Origin Lake,North America,United States,North America,22,136,19803,7,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n38q7d
1434,KALSA,1398,Kalsa Mire,27.41146,58.19142,28,Mire,Europe,Estonia,Europe,69,25,8623,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3173w
1435,KAMEN,1399,Kameničky,15.96947,49.72562,618,Soligenous Mire,Europe,Czech Republic,Europe,29,123,13309,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n39h00
1438,KANSJON,1401,Kansjön,14.53458,57.64055,299,Glacial Scour Lake,Europe,Sweden,Europe,45,176.5,14700,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3h737
1440,KARDAS,1403,Kardashinski Swamp,32.61667,46.51667,5,Floodplain Mire,Europe,Ukraine,Europe,38,216,8132,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n37t6r
14410,TOWER1,9738,Tower Lake,-86.03944,46.54157,287,Kettle Lake,North America,United States,North America,107,1712,8803,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/j2hz-1p75
1445,KEELE,1408,Keele Lake,-127.61667,64.16667,1124,Moraine Dammed Lake,North America,Canada,North America,51,-1,13702.5,7,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3106m
1448,KELLNERS,1411,Kellners Lake,-87.84806,44.23806,262,Kettle Lake,North America,United States,North America,68,-23,16941.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n36t7t
14498,DOGLKBC,9798,Dog Lake,-115.93464,50.77669,1174,Moraine Dammed Lake,North America,Canada,North America,121,19,10011.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/w0ab-4w11
14523,LOUGHANA,9817,Lough Anaffrin,-9.72556,53.9498,172,Cirque Lake,Europe,Ireland,Europe,39,-36,15470.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/e93w-j223
14525,LOUGHCLE,9818,Lough Clevala,-9.43662,54.03918,60,Kettle Lake,Europe,Ireland,Europe,48,593,16690,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/g7k0-8d93
14527,LOUGHCOR,9819,Lough Corslieve,-9.6408,54.04916,297,Cirque Lake,Europe,Ireland,Europe,35,1360,11827,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/kkn8-9202
14549,LOWDER,9830,Lowder Creek Bog,-112.79315,37.6709,3151,Fen,North America,United States,North America,37,-42,15472,5,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/2q3p-8t07
14556,SHEHEREE,9834,Sheheree Bog,-9.48283,52.03879,53,Bog,Europe,Ireland,Europe,162,-40,10263.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/ps1x-es22
14612,HURLEG,9861,Hurleg Lake,96.8504,37.21704,2798,Tectonic Origin Lake,Asia,China,Asia,60,-55,12236.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/1ks0-te29
14674,BLKWOODS,9889,Blackwoods Hollow,-68.22387,44.31302,28,Small Hollow,North America,United States,North America,51,974,11482.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/65ar-gd68
14676,BUCKLEY,9890,Buckley Pond Hollow,-69.05036,46.33414,336,Small Hollow,North America,United States,North America,40,204,9752,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/te1p-he56
14682,ROQUEIS,9893,Roque Island Hollow,-67.53483,44.57087,11,Small Hollow,North America,NA,North America,26,89,9497.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/6hga-6436
14792,YAHOO,9942,Yahoo Lake,-124.02015,47.6757,716,Cirque Lake,North America,United States,North America,50,48,13930.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/yzwy-0p89
14803,BURNTKNB,9947,Burnt Knob Lake,-114.98364,45.70637,2235,Cirque Lake,North America,United States,North America,36,-35,14852,15,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/ve01-y167
14884,BAKER,9974,Baker Lake,-114.26438,45.8906,2394,Cirque Lake,North America,United States,North America,40,-38,13669,15,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/gpa8-an56
14911,HOODOO,9985,Hoodoo Lake,-114.65296,46.3185,1763,Fluvial Origin Lake,North America,United States,North America,52,-43,10112,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/5drb-1282
14921,BRASS,9988,Brass Tarn,145.04318,-5.78747,3939,Cirque Lake,Oceania,Papua New Guinea,Oceania,48,534.5,12597.5,5,Calibrated radiocarbon years BP,mixed_curve20,sh_zone_3,FALSE,2000,8000,20000,Neotoma,open,10.21233/m8m6-rn46
14923,PINTLER,9989,Pintler Lake,-113.44306,45.83801,1922,Moraine Dammed Lake,North America,United States,North America,36,-6,14388,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/av5q-6587
14944,FRACAS,9997,Fracas Lake,-112.23885,36.63046,2521,Solution Origin Lake,North America,United States,North America,28,52,13355.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/ym56-bk43
14948,DYER,9999,Dye Lower Water Lake (Dyer Lake),-61.65087,66.62137,327,Moraine Dammed Lake,North America,Canada,North America,38,-43,10364.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/414e-k787
14951,BEARAZ,10000,Bear Lake,-112.14744,36.3709,2777,Solution Origin Lake,North America,United States,North America,45,140,13423,6,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/636g-9n86
15032,MUDLKMI,10034,Mud Lake (Ho),-88.32806,47.12324,189,Glacial Scour Lake,North America,United States,North America,57,-50,9702.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/gw2b-x179
15035,LILYMI,10036,Lily Lake,-89.0935,47.91059,299,Kettle Lake,North America,United States,North America,73,979,10635,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/4k5g-jx08
15061,CONDOR,10049,Laguna del Cóndor,-71.29522,-42.35994,819,Moraine Dammed Lake,Latin America,Argentina,Latin America,71,41,10052.5,8,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/8d1p-vk58
15081,JACKSN07,1125,Jackson Pond,-85.7263,37.43148,260,Solution Origin Lake,North America,United States,North America,24,1049.5,19776,12,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/hdeg-rn31
15088,ANDERS07,203,Anderson Pond,-85.50396,36.02755,304,Solution Origin Lake,North America,United States,North America,52,-75,19908,13,Calibrated radiocarbon years BP,intcal20,nh_zone_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/mce3-kp31
15101,MOSQUITO,10059,Lago Mosquito,-71.4207,-42.50389,552,Lake Dammed by Alluvial Fans,Latin America,Argentina,Latin America,155,258,9307,20,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/9vfj-v497
15103,HUALAHUE,10060,Lago Huala Hué,-71.51314,-41.5129,838,Glacial Origin Lake,Latin America,Argentina,Latin America,53,64,12751,9,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/wn4z-7521
15130,THEOBALD,10071,Lago Theobald,-71.56608,-43.44371,634,Glacial Scour Lake,Latin America,Argentina,Latin America,61,-45,12300,12,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/7bsm-hd67
15132,TREBOL,10072,Laguna el Trébol,-71.49835,-41.07352,797,Glacial Origin Lake,Latin America,Argentina,Latin America,61,162.5,15784,16,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,FALSE,2000,8000,20000,Neotoma,open,10.21233/0kpg-kx30
15136,CREELBAY,9717,"Devils Lake, Creel Bay",-98.95643,48.06397,435,Ice Thrust Lake,North America,United States,North America,64,-37,12444,29,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/ffzs-p571
15138,JONES,10074,Jones Lake,-99.29758,49.44254,416,Kettle Lake,North America,Canada,North America,125,-51,9649.5,28,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/x1ts-qh05
15142,MKPEACEA,10076,Makepeace Cedar Swamp,-70.77813,41.92418,43,Swamp,North America,United States,North America,39,84,14177,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/fhxr-x596
1516,KHOMUST,1479,Khomustakh Lake,121.62,63.82,98,Thermokarst Lake,Asia,Russia,Asia,72,440,13321,10,Radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/n3jq88
15185,RUPPERT1,10100,Ruppert Lake,-154.24697,67.06911,200,Kettle Lake,North America,United States,North America,120,160,13812,18,Calibrated radiocarbon years BP,intcal20,nh_zone_1,FALSE,2000,8000,20000,Neotoma,open,10.21233/kkjd-pf71
