neotoma_names,is_plant
Abies,TRUE
Acer negundo-type,TRUE
Acer rubrum,TRUE
Acer saccharum-type,TRUE
Acer undiff.,TRUE
Alnus incana-type,TRUE
Amaranthaceae undiff.,TRUE
Anacardiaceae undiff.,TRUE
Apiaceae,TRUE
Apocynum,TRUE
Arecaceae undiff.,TRUE
Artemisia,TRUE
Berberidaceae,TRUE
Beta vulgaris-type,TRUE
Betula,TRUE
Brassica,TRUE
Brassicaceae undiff.,TRUE
Bromeliaceae,TRUE
Bursera,TRUE
Byrsonima,TRUE
Campanulaceae,TRUE
Carya,TRUE
Caryophyllaceae,TRUE
Ceanothus,TRUE
Cedrus,TRUE
Celtis,TRUE
Cephalanthus,TRUE
Ceratiola ericoides-type,TRUE
Chamaecrista fasciculata-type,TRUE
Cistaceae,TRUE
Clethra,TRUE
Corylus,TRUE
Cupressaceae undiff.,TRUE
Cyclachaena xanthiifolia-type,TRUE
Cyperaceae,TRUE
Cyrilla racemiflora,TRUE
Dalea,TRUE
Dalea candida-type,TRUE
Dalea purpurea,TRUE
Dalea undiff.,TRUE
Dodonaea,TRUE
Ericaceae,TRUE
Euphorbia,TRUE
Fabaceae undiff.,TRUE
Fagus,TRUE
Fraxinus nigra-type,TRUE
Fraxinus pennsylvanica-type,TRUE
Fraxinus undiff.,TRUE
Galium,TRUE
Gentiana andrewsii-type,TRUE
Gentianaceae undiff.,TRUE
Gordonia,TRUE
Hedyosmum,TRUE
Hedysarum,TRUE
Ilex,TRUE
Impatiens,TRUE
Iva frutescens-type,TRUE
Juglans nigra-type,TRUE
Lamiaceae,TRUE
Lechea,TRUE
Liquidambar,TRUE
Magnolia,TRUE
Malvaceae,TRUE
Moraceae undiff.,TRUE
Morus,TRUE
Myrica,TRUE
Myrtaceae undiff.,TRUE
Nyssa,TRUE
Onagraceae,TRUE
Opuntia,TRUE
Orchidaceae,TRUE
Osmanthus,TRUE
Paronychia americana,TRUE
Paronychia chartacea,TRUE
Parthenocissus,TRUE
Persicaria amphibia,TRUE
Phoradendron,TRUE
Picea,TRUE
Pinaceae (vesiculate) undiff.,TRUE
Pinus subg. Pinus,TRUE
Pinus subg. Strobus,TRUE
Pinus undiff.,TRUE
Plantago,TRUE
Platanus,TRUE
Poaceae,TRUE
Podocarpus,TRUE
Polygalaceae,TRUE
Polygonum delopyrum-type,TRUE
Polygonum fimbriatum-type,TRUE
Polygonum polygamum-type,TRUE
Polygonum tenue-type,TRUE
Populus,TRUE
Quercus,TRUE
Ranunculaceae undiff.,TRUE
Rhamnaceae undiff.,TRUE
Rhus,TRUE
Rosaceae undiff.,TRUE
Rubiaceae undiff.,TRUE
Rumex,TRUE
Rutaceae undiff.,TRUE
Sabal,TRUE
Salix,TRUE
Sambucus,TRUE
Sanguisorba,TRUE
Sapindus,TRUE
Serenoa,TRUE
Shepherdia canadensis,TRUE
Sisyrinchium,TRUE
Solanaceae undiff.,TRUE
Solanum rostratum,TRUE
Symplocos,TRUE
Taxodium,TRUE
Taxus,TRUE
Thalictrum,TRUE
Tilia,TRUE
Tillandsia,TRUE
Trema,TRUE
Trifolium repens-type,TRUE
Tsuga,TRUE
Ulmus,TRUE
Urticaceae undiff.,TRUE
Viburnum,TRUE
Vitis,TRUE
Xanthium,TRUE
Ximenia,TRUE
Xyris,TRUE
Alnus incana,TRUE
Alnus undiff.,TRUE
Amaranthaceae,TRUE
Amelanchier,TRUE
Arceuthobium,TRUE
Brassicaceae,TRUE
Ephedra,TRUE
Eriogonum,TRUE
Fabaceae,TRUE
Fraxinus,TRUE
Juniperus,TRUE
Pinus albicaulis-type,TRUE
Pinus contorta-type,TRUE
Polygonaceae undiff.,TRUE
Potentilla,TRUE
Pseudotsuga,TRUE
Sarcobatus,TRUE
Sphaeralcea,TRUE
Acer,TRUE
Alnus,TRUE
Asteraceae undiff.,TRUE
Castanea,TRUE
Cornus,TRUE
Juglans,TRUE
Pinus,TRUE
Rosaceae,TRUE
Cupressaceae,TRUE
