neotoma_names,name,rank,id
Abies,Plantae,kingdom,6
Abies,Tracheophyta,phylum,7707728
Abies,Pinopsida,class,194
Abies,Pinales,order,640
Abies,Pinaceae,family,3925
Abies,Abies,genus,2684876
Acer negundo-type,Plantae,kingdom,6
Acer negundo-type,Tracheophyta,phylum,7707728
Acer negundo-type,Magnoliopsida,class,220
Acer negundo-type,Sapindales,order,933
Acer negundo-type,Sapindaceae,family,6657
Acer negundo-type,Acer,genus,3189834
Acer rubrum,Plantae,kingdom,6
Acer rubrum,Tracheophyta,phylum,7707728
Acer rubrum,Magnoliopsida,class,220
Acer rubrum,Sapindales,order,933
Acer rubrum,Sapindaceae,family,6657
Acer rubrum,Acer,genus,3189834
Acer rubrum,Acer rubrum,species,3189883
Acer saccharum-type,Plantae,kingdom,6
Acer saccharum-type,Tracheophyta,phylum,7707728
Acer saccharum-type,Magnoliopsida,class,220
Acer saccharum-type,Sapindales,order,933
Acer saccharum-type,Sapindaceae,family,6657
Acer saccharum-type,Acer,genus,3189834
Acer undiff.,Plantae,kingdom,6
Acer undiff.,Tracheophyta,phylum,7707728
Acer undiff.,Magnoliopsida,class,220
Acer undiff.,Sapindales,order,933
Acer undiff.,Sapindaceae,family,6657
Acer undiff.,Acer,genus,3189834
Alnus incana-type,Plantae,kingdom,6
Alnus incana-type,Tracheophyta,phylum,7707728
Alnus incana-type,Magnoliopsida,class,220
Alnus incana-type,Fagales,order,1354
Alnus incana-type,Betulaceae,family,4688
Alnus incana-type,Alnus,genus,2876099
Amaranthaceae undiff.,Plantae,kingdom,6
Amaranthaceae undiff.,Tracheophyta,phylum,7707728
Amaranthaceae undiff.,Magnoliopsida,class,220
Amaranthaceae undiff.,Caryophyllales,order,422
Amaranthaceae undiff.,Amaranthaceae,family,3064
Anacardiaceae undiff.,Plantae,kingdom,6
Anacardiaceae undiff.,Tracheophyta,phylum,7707728
Anacardiaceae undiff.,Magnoliopsida,class,220
Anacardiaceae undiff.,Sapindales,order,933
Anacardiaceae undiff.,Anacardiaceae,family,2398
Apiaceae,Plantae,kingdom,6
Apiaceae,Tracheophyta,phylum,7707728
Apiaceae,Magnoliopsida,class,220
Apiaceae,Apiales,order,1351
Apiaceae,Apiaceae,family,6720
Apocynum,Plantae,kingdom,6
Apocynum,Tracheophyta,phylum,7707728
Apocynum,Magnoliopsida,class,220
Apocynum,Gentianales,order,412
Apocynum,Apocynaceae,family,6701
Apocynum,Apocynum,genus,3169789
Arecaceae undiff.,Plantae,kingdom,6
Arecaceae undiff.,Tracheophyta,phylum,7707728
Arecaceae undiff.,Liliopsida,class,196
Arecaceae undiff.,Arecales,order,552
Arecaceae undiff.,Arecaceae,family,7681
Artemisia,Plantae,kingdom,6
Artemisia,Tracheophyta,phylum,7707728
Artemisia,Magnoliopsida,class,220
Artemisia,Asterales,order,414
Artemisia,Asteraceae,family,3065
Artemisia,Artemisia,genus,3120641
Asteroideae undiff.,Animalia,kingdom,1
Asteroideae undiff.,Echinodermata,phylum,50
Asteroideae undiff.,Asteroidea,class,214
Berberidaceae,Plantae,kingdom,6
Berberidaceae,Tracheophyta,phylum,7707728
Berberidaceae,Magnoliopsida,class,220
Berberidaceae,Ranunculales,order,399
Berberidaceae,Berberidaceae,family,6673
Beta vulgaris-type,Plantae,kingdom,6
Beta vulgaris-type,Tracheophyta,phylum,7707728
Beta vulgaris-type,Magnoliopsida,class,220
Beta vulgaris-type,Caryophyllales,order,422
Beta vulgaris-type,Amaranthaceae,family,3064
Beta vulgaris-type,Beta,genus,3083586
Betula,Plantae,kingdom,6
Betula,Tracheophyta,phylum,7707728
Betula,Magnoliopsida,class,220
Betula,Fagales,order,1354
Betula,Betulaceae,family,4688
Betula,Betula,genus,2875008
Brassica,Plantae,kingdom,6
Brassica,Tracheophyta,phylum,7707728
Brassica,Magnoliopsida,class,220
Brassica,Brassicales,order,7225535
Brassica,Brassicaceae,family,3112
Brassica,Brassica,genus,3042506
Brassicaceae undiff.,Plantae,kingdom,6
Brassicaceae undiff.,Tracheophyta,phylum,7707728
Brassicaceae undiff.,Magnoliopsida,class,220
Brassicaceae undiff.,Brassicales,order,7225535
Brassicaceae undiff.,Brassicaceae,family,3112
Bromeliaceae,Plantae,kingdom,6
Bromeliaceae,Tracheophyta,phylum,7707728
Bromeliaceae,Liliopsida,class,196
Bromeliaceae,Poales,order,1369
Bromeliaceae,Bromeliaceae,family,3740
Bursera,Plantae,kingdom,6
Bursera,Tracheophyta,phylum,7707728
Bursera,Magnoliopsida,class,220
Bursera,Sapindales,order,933
Bursera,Burseraceae,family,6659
Bursera,Bursera,genus,3190446
Byrsonima,Plantae,kingdom,6
Byrsonima,Tracheophyta,phylum,7707728
Byrsonima,Magnoliopsida,class,220
Byrsonima,Malpighiales,order,1414
Byrsonima,Malpighiaceae,family,6676
Byrsonima,Byrsonima,genus,3191347
Campanulaceae,Plantae,kingdom,6
Campanulaceae,Tracheophyta,phylum,7707728
Campanulaceae,Magnoliopsida,class,220
Campanulaceae,Asterales,order,414
Campanulaceae,Campanulaceae,family,8801
Carya,Plantae,kingdom,6
Carya,Tracheophyta,phylum,7707728
Carya,Magnoliopsida,class,220
Carya,Fagales,order,1354
Carya,Juglandaceae,family,2499
Carya,Carya,genus,3054287
Caryophyllaceae,Plantae,kingdom,6
Caryophyllaceae,Tracheophyta,phylum,7707728
Caryophyllaceae,Magnoliopsida,class,220
Caryophyllaceae,Caryophyllales,order,422
Caryophyllaceae,Caryophyllaceae,family,2518
Ceanothus,Plantae,kingdom,6
Ceanothus,Tracheophyta,phylum,7707728
Ceanothus,Magnoliopsida,class,220
Ceanothus,Rosales,order,691
Ceanothus,Rhamnaceae,family,2407
Ceanothus,Ceanothus,genus,3039297
Cedrus,Plantae,kingdom,6
Cedrus,Tracheophyta,phylum,7707728
Cedrus,Pinopsida,class,194
Cedrus,Pinales,order,640
Cedrus,Pinaceae,family,3925
Cedrus,Cedrus,genus,2685742
Celtis,Plantae,kingdom,6
Celtis,Tracheophyta,phylum,7707728
Celtis,Magnoliopsida,class,220
Celtis,Rosales,order,691
Celtis,Cannabaceae,family,2384
Celtis,Celtis,genus,2984479
Cephalanthus,Plantae,kingdom,6
Cephalanthus,Tracheophyta,phylum,7707728
Cephalanthus,Magnoliopsida,class,220
Cephalanthus,Gentianales,order,412
Cephalanthus,Rubiaceae,family,8798
Cephalanthus,Cephalanthus,genus,2923932
Ceratiola ericoides-type,Plantae,kingdom,6
Ceratiola ericoides-type,Tracheophyta,phylum,7707728
Ceratiola ericoides-type,Magnoliopsida,class,220
Ceratiola ericoides-type,Ericales,order,1353
Ceratiola ericoides-type,Ericaceae,family,2505
Ceratiola ericoides-type,Ceratiola,genus,2888364
Chamaecrista fasciculata-type,Plantae,kingdom,6
Chamaecrista fasciculata-type,Tracheophyta,phylum,7707728
Chamaecrista fasciculata-type,Magnoliopsida,class,220
Chamaecrista fasciculata-type,Fabales,order,1370
Chamaecrista fasciculata-type,Fabaceae,family,5386
Chamaecrista fasciculata-type,Chamaecrista,genus,2949492
Cistaceae,Plantae,kingdom,6
Cistaceae,Tracheophyta,phylum,7707728
Cistaceae,Magnoliopsida,class,220
Cistaceae,Malvales,order,941
Cistaceae,Cistaceae,family,6635
Clethra,Plantae,kingdom,6
